customer_id,satisfaction_score,cltv,customer_status,churn_score,churn_label,churn_value,churn_category,churn_reason
0139-IVFJG,3,5361,Joined,29,No,0,Not Applicable,N/A
0141-YEAYS,4,5990,Stayed,77,No,0,Not Applicable,N/A
0142-GVYSN,5,5712,Stayed,68,No,0,Not Applicable,N/A
0147-ESWWR,4,3172,Stayed,77,No,0,Not Applicable,N/A
0148-DCDOS,1,5641,Churned,82,Yes,1,Competitor,Competitor had better devices
0151-ONTOV,1,4739,Churned,78,Yes,1,Competitor,Competitor had better devices
0156-FVPTA,2,5102,Churned,87,Yes,1,Attitude,Attitude of service provider
0164-APGRB,4,4589,Stayed,69,No,0,Not Applicable,N/A
0164-XAIRP,5,2511,Stayed,34,No,0,Not Applicable,N/A
0168-XZKBB,5,5072,Stayed,64,No,0,Not Applicable,N/A
0174-QRVVY,5,5747,Stayed,68,No,0,Not Applicable,N/A
0177-PXBAT,3,5655,Stayed,59,No,0,Not Applicable,N/A
0178-CIIKR,3,5949,Joined,74,No,0,Not Applicable,N/A
0178-SZBHO,3,3760,Stayed,76,No,0,Not Applicable,N/A
0181-RITDD,4,5298,Stayed,43,No,0,Not Applicable,N/A
0186-CAERR,4,4644,Stayed,59,No,0,Not Applicable,N/A
0187-QSXOE,4,5711,Stayed,36,No,0,Not Applicable,N/A
0187-WZNAB,3,4331,Stayed,57,No,0,Not Applicable,N/A
0188-GWFLE,3,4978,Joined,59,No,0,Not Applicable,N/A
0191-EQUUH,4,2754,Stayed,69,No,0,Not Applicable,N/A
0191-ZHSKZ,4,3033,Stayed,55,No,0,Not Applicable,N/A
0193-ESZXP,1,5067,Churned,91,Yes,1,Attitude,Attitude of support person
0195-IESCP,3,3573,Churned,75,Yes,1,Competitor,Competitor offered more data
0196-JTUQI,5,5841,Stayed,68,No,0,Not Applicable,N/A
0196-VULGZ,3,5721,Churned,77,Yes,1,Other,Deceased
0197-PNKNK,3,5629,Stayed,49,No,0,Not Applicable,N/A
0201-MIBOL,3,4861,Stayed,69,No,0,Not Applicable,N/A
0201-OAMXR,1,4838,Churned,87,Yes,1,Dissatisfaction,Network reliability
0203-HHYIJ,3,3779,Churned,79,Yes,1,Price,Long distance charges
0206-OYVOC,5,5596,Stayed,77,No,0,Not Applicable,N/A
0206-TBWLC,4,4488,Stayed,67,No,0,Not Applicable,N/A
0207-MDKNV,1,2122,Churned,84,Yes,1,Competitor,Competitor made better offer
0208-BPQEJ,3,3713,Stayed,29,No,0,Not Applicable,N/A
0212-ISBBF,3,2875,Stayed,73,No,0,Not Applicable,N/A
0214-JHPFW,4,5640,Stayed,42,No,0,Not Applicable,N/A
0215-BQKGS,4,5393,Stayed,66,No,0,Not Applicable,N/A
0218-QNVAS,5,5876,Stayed,37,No,0,Not Applicable,N/A
0219-QAERP,5,4006,Stayed,74,No,0,Not Applicable,N/A
0219-YTZUE,3,4939,Churned,73,Yes,1,Competitor,Competitor made better offer
0220-EBGCE,1,3273,Churned,67,Yes,1,Competitor,Competitor made better offer
0221-NAUXK,5,3044,Stayed,48,No,0,Not Applicable,N/A
0221-WMXNQ,3,4033,Stayed,40,No,0,Not Applicable,N/A
0222-CNVPT,3,4865,Stayed,67,No,0,Not Applicable,N/A
0224-HJAPT,2,2857,Churned,82,Yes,1,Competitor,Competitor made better offer
0224-NIJLP,4,3899,Stayed,32,No,0,Not Applicable,N/A
0224-RLWWD,3,3805,Joined,44,No,0,Not Applicable,N/A
0225-ZORZP,5,5828,Joined,43,No,0,Not Applicable,N/A
0228-MAUWC,4,3949,Stayed,39,No,0,Not Applicable,N/A
0229-LFJAF,5,4262,Stayed,32,No,0,Not Applicable,N/A
0230-UBYPQ,3,5089,Stayed,48,No,0,Not Applicable,N/A
0230-WEQUW,4,5500,Stayed,77,No,0,Not Applicable,N/A
0231-LXVAP,3,3389,Churned,66,Yes,1,Competitor,Competitor made better offer
0233-FTHAV,3,5687,Stayed,49,No,0,Not Applicable,N/A
0234-TEVTT,3,5269,Stayed,21,No,0,Not Applicable,N/A
0235-KGSLC,2,3967,Churned,86,Yes,1,Other,Moved
0236-HFWSV,1,5264,Churned,77,Yes,1,Competitor,Competitor had better devices
0237-YFUTL,3,4676,Stayed,21,No,0,Not Applicable,N/A
0238-WHBIQ,3,4193,Stayed,50,No,0,Not Applicable,N/A
0239-OXEXL,4,3509,Stayed,49,No,0,Not Applicable,N/A
0244-LGNFY,4,6342,Stayed,75,No,0,Not Applicable,N/A
0247-SLUJI,5,2004,Joined,43,No,0,Not Applicable,N/A
0248-IPDFW,4,5617,Joined,57,No,0,Not Applicable,N/A
0248-PGHBZ,4,5857,Stayed,80,No,0,Not Applicable,N/A
0253-ZTEOB,4,3246,Stayed,50,No,0,Not Applicable,N/A
0254-FNMCI,4,5234,Stayed,37,No,0,Not Applicable,N/A
0254-KCJGT,4,4628,Stayed,64,No,0,Not Applicable,N/A
0254-WWRKD,5,5122,Stayed,51,No,0,Not Applicable,N/A
0256-LTHVJ,1,5201,Churned,91,Yes,1,Competitor,Competitor had better devices
0257-KXZGU,3,5442,Stayed,74,No,0,Not Applicable,N/A
0257-ZESQC,1,4517,Churned,91,Yes,1,Attitude,Attitude of support person
0258-NOKBL,5,5625,Joined,61,No,0,Not Applicable,N/A
0259-GBZSH,1,3878,Churned,73,Yes,1,Competitor,Competitor made better offer
0260-ZDLGK,1,3585,Churned,65,Yes,1,Competitor,Competitor made better offer
0263-FJTQO,4,4022,Stayed,60,No,0,Not Applicable,N/A
0264-CNITK,3,5043,Stayed,23,No,0,Not Applicable,N/A
0265-EDXBD,2,4105,Churned,69,Yes,1,Attitude,Attitude of support person
0265-PSUAE,4,3337,Stayed,72,No,0,Not Applicable,N/A
0266-CLZKZ,5,6383,Stayed,59,No,0,Not Applicable,N/A
0266-GMEAO,3,5879,Stayed,70,No,0,Not Applicable,N/A
0268-QKIWO,3,2647,Churned,83,Yes,1,Attitude,Attitude of support person
0269-XFESX,5,4031,Stayed,30,No,0,Not Applicable,N/A
0270-THENM,3,6233,Stayed,77,No,0,Not Applicable,N/A
0274-JKUJR,3,3332,Stayed,76,No,0,Not Applicable,N/A
0277-BKSQP,4,4854,Stayed,62,No,0,Not Applicable,N/A
0277-ORXQS,4,4652,Stayed,30,No,0,Not Applicable,N/A
0278-YXOOG,3,2604,Churned,66,Yes,1,Attitude,Attitude of support person
0280-XJGEX,1,5340,Churned,89,Yes,1,Competitor,Competitor had better devices
0281-CNTZX,3,5151,Stayed,74,No,0,Not Applicable,N/A
0282-NVSJS,4,3353,Stayed,75,No,0,Not Applicable,N/A
0285-INHLN,3,3519,Stayed,41,No,0,Not Applicable,N/A
0289-IVARM,4,3463,Stayed,34,No,0,Not Applicable,N/A
0292-WEGCH,3,6275,Stayed,45,No,0,Not Applicable,N/A
0295-PPHDO,1,5962,Churned,71,Yes,1,Competitor,Competitor had better devices
0295-QVKPB,4,3099,Stayed,42,No,0,Not Applicable,N/A
0297-RBCSG,4,2051,Stayed,39,No,0,Not Applicable,N/A
0298-XACET,4,5396,Stayed,47,No,0,Not Applicable,N/A
0301-FIDRB,4,6107,Stayed,32,No,0,Not Applicable,N/A
0301-KOBTQ,5,3398,Stayed,20,No,0,Not Applicable,N/A
0302-JOIVN,2,2750,Churned,76,Yes,1,Competitor,Competitor made better offer
0303-UNCIP,4,5043,Stayed,57,No,0,Not Applicable,N/A
0303-WMMRN,3,3056,Stayed,27,No,0,Not Applicable,N/A
0305-SQECB,4,4265,Stayed,67,No,0,Not Applicable,N/A
0306-JAELE,1,4192,Churned,66,Yes,1,Competitor,Competitor made better offer
0307-BCOPK,5,4336,Stayed,60,No,0,Not Applicable,N/A
0308-GIQJT,4,4921,Stayed,54,No,0,Not Applicable,N/A
0308-IVGOK,5,2133,Stayed,62,No,0,Not Applicable,N/A
0310-MVLET,3,5612,Churned,77,Yes,1,Dissatisfaction,Service dissatisfaction
0310-SUCIN,3,5643,Stayed,28,No,0,Not Applicable,N/A
0310-VQXAM,3,2788,Stayed,63,No,0,Not Applicable,N/A
0311-QYWSS,3,3672,Stayed,60,No,0,Not Applicable,N/A
0311-UNPFF,2,4910,Churned,82,Yes,1,Dissatisfaction,Service dissatisfaction
0314-TKOSI,4,5377,Stayed,42,No,0,Not Applicable,N/A
0315-LVCRK,4,4924,Stayed,60,No,0,Not Applicable,N/A
0318-QUUOB,1,4273,Churned,91,Yes,1,Competitor,Competitor had better devices
0318-ZOPWS,5,5422,Stayed,37,No,0,Not Applicable,N/A
0319-QZTCO,3,3654,Joined,52,No,0,Not Applicable,N/A
0320-DWVTU,3,4754,Stayed,23,No,0,Not Applicable,N/A
0320-JDNQG,1,3425,Churned,83,Yes,1,Other,Don't know
0322-CHQRU,1,3478,Churned,81,Yes,1,Competitor,Competitor had better devices
0322-YINQP,1,5687,Churned,77,Yes,1,Attitude,Attitude of support person
0323-XWWTN,5,4315,Joined,77,No,0,Not Applicable,N/A
0324-BRPCJ,1,4481,Churned,70,Yes,1,Competitor,Competitor offered more data
0325-XBFAC,1,5811,Churned,94,Yes,1,Competitor,Competitor offered more data
0326-VDYXE,4,4252,Stayed,35,No,0,Not Applicable,N/A
0327-WFZSY,3,5434,Stayed,64,No,0,Not Applicable,N/A
0328-GRPMV,1,3706,Churned,84,Yes,1,Competitor,Competitor had better devices
0329-GTIAJ,3,4330,Churned,86,Yes,1,Price,Price too high
0330-BGYZE,5,4968,Stayed,54,No,0,Not Applicable,N/A
0330-IVZHA,2,2969,Churned,81,Yes,1,Attitude,Attitude of service provider
0334-GDDSO,1,2818,Churned,73,Yes,1,Competitor,Competitor made better offer
0334-ZFJSR,4,5501,Stayed,68,No,0,Not Applicable,N/A
0336-KXKFK,3,4085,Stayed,38,No,0,Not Applicable,N/A
0336-PIKEI,4,5590,Stayed,58,No,0,Not Applicable,N/A
0337-CNPZE,2,5383,Churned,85,Yes,1,Price,Price too high
0343-QLUZP,3,5544,Stayed,32,No,0,Not Applicable,N/A
0345-HKJVM,1,5800,Churned,91,Yes,1,Other,Don't know
0345-XMMUG,5,5119,Stayed,45,No,0,Not Applicable,N/A
0347-UBKUZ,4,3366,Stayed,29,No,0,Not Applicable,N/A
0348-SDKOL,2,4415,Churned,96,Yes,1,Competitor,Competitor made better offer
0354-VXMJC,5,4617,Stayed,35,No,0,Not Applicable,N/A
0354-WYROK,2,4050,Churned,91,Yes,1,Other,Don't know
0356-ERHVT,5,3880,Stayed,41,No,0,Not Applicable,N/A
0356-OBMAC,3,5840,Stayed,45,No,0,Not Applicable,N/A
0357-NVCRI,5,2192,Stayed,24,No,0,Not Applicable,N/A
0361-HJRDX,3,4146,Stayed,40,No,0,Not Applicable,N/A
0362-RAOQO,4,3878,Stayed,75,No,0,Not Applicable,N/A
0362-ZBZWJ,1,2455,Churned,69,Yes,1,Attitude,Attitude of service provider
0363-QJVFX,1,2541,Churned,69,Yes,1,Attitude,Attitude of service provider
0363-SVHYR,4,6452,Stayed,60,No,0,Not Applicable,N/A
0365-BZUWY,5,3803,Stayed,75,No,0,Not Applicable,N/A
0365-GXEZS,5,2831,Stayed,79,No,0,Not Applicable,N/A
0365-TRTPY,3,5135,Stayed,44,No,0,Not Applicable,N/A
0366-NQSHS,3,5863,Joined,52,No,0,Not Applicable,N/A
0369-ZGOVK,3,5195,Stayed,54,No,0,Not Applicable,N/A
0373-AIVNJ,3,3755,Stayed,67,No,0,Not Applicable,N/A
0374-AACSZ,3,4421,Joined,30,No,0,Not Applicable,N/A
0374-FIUCA,3,5368,Stayed,80,No,0,Not Applicable,N/A
0374-IOEGQ,4,3122,Joined,74,No,0,Not Applicable,N/A
0375-HVGXO,3,4476,Churned,81,Yes,1,Other,Don't know
0376-OIWME,4,2701,Stayed,53,No,0,Not Applicable,N/A
0376-YMCJC,2,4359,Churned,82,Yes,1,Competitor,Competitor offered higher download speeds
0377-JBKKT,3,5036,Stayed,41,No,0,Not Applicable,N/A
0378-CJKPV,4,4272,Stayed,62,No,0,Not Applicable,N/A
0378-NHQXU,2,4041,Churned,68,Yes,1,Other,Deceased
0378-TOVMS,1,5641,Churned,89,Yes,1,Competitor,Competitor had better devices
0378-XSZPU,2,4026,Churned,88,Yes,1,Dissatisfaction,Network reliability
0379-DJQHR,3,4219,Stayed,51,No,0,Not Applicable,N/A
0380-NEAVX,5,5626,Stayed,71,No,0,Not Applicable,N/A
0380-ZCSBI,5,2411,Stayed,66,No,0,Not Applicable,N/A
0383-CLDDA,3,6499,Stayed,37,No,0,Not Applicable,N/A
0384-LPITE,3,2290,Stayed,34,No,0,Not Applicable,N/A
0384-RVBPI,3,2120,Stayed,80,No,0,Not Applicable,N/A
0386-CWRGM,4,2320,Stayed,47,No,0,Not Applicable,N/A
0388-EOPEX,1,4263,Churned,77,Yes,1,Attitude,Attitude of support person
0390-DCFDQ,2,3964,Churned,76,Yes,1,Other,Don't know
0392-BZIUW,3,5678,Stayed,70,No,0,Not Applicable,N/A
0394-YONDK,3,5114,Stayed,39,No,0,Not Applicable,N/A
0396-HUJBP,3,3009,Joined,43,No,0,Not Applicable,N/A
0396-UKGAI,4,4028,Stayed,65,No,0,Not Applicable,N/A
0396-YCHWO,3,5111,Stayed,44,No,0,Not Applicable,N/A
0397-GZBBC,2,5390,Churned,85,Yes,1,Price,Price too high
0397-ZXWQF,5,4416,Stayed,45,No,0,Not Applicable,N/A
0401-WDBXM,3,4331,Stayed,62,No,0,Not Applicable,N/A
0402-CQAJN,3,4437,Churned,83,Yes,1,Dissatisfaction,Lack of self-service on Website
0402-OAMEN,3,5335,Stayed,64,No,0,Not Applicable,N/A
0404-AHASP,3,6436,Stayed,36,No,0,Not Applicable,N/A
0404-SWRVG,1,4415,Churned,76,Yes,1,Dissatisfaction,Product dissatisfaction
0406-BPDVR,2,6405,Churned,68,Yes,1,Price,Lack of affordable download/upload speed
0407-BDJKB,2,4129,Churned,88,Yes,1,Dissatisfaction,Service dissatisfaction
0409-WTMPL,3,4761,Stayed,55,No,0,Not Applicable,N/A
0410-IPFTY,3,4283,Stayed,56,No,0,Not Applicable,N/A
0411-EZJZE,4,4830,Joined,31,No,0,Not Applicable,N/A
0412-UCCNP,3,5162,Stayed,33,No,0,Not Applicable,N/A
0415-MOSGF,2,3204,Churned,76,Yes,1,Attitude,Attitude of support person
0419-YAAPX,4,4696,Stayed,71,No,0,Not Applicable,N/A
0420-BWTPW,2,5578,Churned,78,Yes,1,Attitude,Attitude of support person
0420-HLGXF,3,3860,Stayed,58,No,0,Not Applicable,N/A
0420-TXVSG,3,5933,Stayed,73,No,0,Not Applicable,N/A
0422-OHQHQ,5,3009,Stayed,22,No,0,Not Applicable,N/A
0422-UXFAP,5,6034,Stayed,43,No,0,Not Applicable,N/A
0423-UDIJQ,4,2145,Stayed,22,No,0,Not Applicable,N/A
0426-TIRNE,3,5527,Churned,90,Yes,1,Dissatisfaction,Limited range of services
0428-AXXLJ,4,4761,Stayed,36,No,0,Not Applicable,N/A
0428-IKYCP,4,5233,Stayed,49,No,0,Not Applicable,N/A
0430-IHCDJ,3,2597,Stayed,25,No,0,Not Applicable,N/A
0431-APWVY,3,5958,Churned,91,Yes,1,Other,Poor expertise of online support
0432-CAJZV,4,3953,Joined,69,No,0,Not Applicable,N/A
0434-CSFON,3,4488,Stayed,70,No,0,Not Applicable,N/A
0436-TWFFZ,4,6322,Stayed,61,No,0,Not Applicable,N/A
0439-IFYUN,4,3896,Stayed,62,No,0,Not Applicable,N/A
0440-EKDCF,5,4404,Stayed,80,No,0,Not Applicable,N/A
0440-MOGPM,3,4176,Stayed,29,No,0,Not Applicable,N/A
0440-QEXBZ,3,5790,Stayed,42,No,0,Not Applicable,N/A
0440-UEDAI,4,5452,Stayed,64,No,0,Not Applicable,N/A
0442-TDYUO,3,2964,Stayed,28,No,0,Not Applicable,N/A
0442-ZXKVS,3,4337,Stayed,45,No,0,Not Applicable,N/A
0447-BEMNG,1,4926,Churned,65,Yes,1,Price,Price too high
0447-RXSGD,3,5207,Stayed,47,No,0,Not Applicable,N/A
0454-OKRCT,4,5542,Stayed,80,No,0,Not Applicable,N/A
0455-ENTCR,4,5012,Stayed,38,No,0,Not Applicable,N/A
0455-XFASS,3,5998,Joined,59,No,0,Not Applicable,N/A
0458-HEUZG,3,3239,Stayed,69,No,0,Not Applicable,N/A
0459-SPZHJ,4,4652,Stayed,75,No,0,Not Applicable,N/A
0461-CVKMU,1,5737,Churned,80,Yes,1,Attitude,Attitude of support person
0463-TXOAK,3,5662,Stayed,76,No,0,Not Applicable,N/A
0463-WZZKO,5,2406,Joined,30,No,0,Not Applicable,N/A
0463-ZSDNT,5,2037,Stayed,70,No,0,Not Applicable,N/A
0464-WJTKO,5,4598,Stayed,30,No,0,Not Applicable,N/A
0468-YRPXN,5,4580,Stayed,42,No,0,Not Applicable,N/A
0471-ARVMX,3,5061,Stayed,68,No,0,Not Applicable,N/A
0471-LVHGK,2,2041,Churned,86,Yes,1,Competitor,Competitor offered higher download speeds
0475-RIJEP,1,5107,Churned,91,Yes,1,Price,Lack of affordable download/upload speed
0479-HMSWA,5,5980,Stayed,62,No,0,Not Applicable,N/A
0480-BIXDE,5,3249,Stayed,66,No,0,Not Applicable,N/A
0480-KYJVA,4,5897,Stayed,26,No,0,Not Applicable,N/A
0481-SUMCB,4,5391,Stayed,69,No,0,Not Applicable,N/A
0484-FFVBJ,5,4895,Stayed,29,No,0,Not Applicable,N/A
0484-JPBRU,4,3461,Stayed,40,No,0,Not Applicable,N/A
0485-ZBSLN,5,6263,Stayed,39,No,0,Not Applicable,N/A
0486-HECZI,1,5154,Churned,75,Yes,1,Price,Long distance charges
0486-LGCCH,3,3372,Stayed,33,No,0,Not Applicable,N/A
0487-CRLZF,5,4517,Stayed,60,No,0,Not Applicable,N/A
0487-RPVUM,4,5404,Stayed,44,No,0,Not Applicable,N/A
0487-VVUVK,4,3829,Stayed,57,No,0,Not Applicable,N/A
0488-GSLFR,1,3365,Churned,91,Yes,1,Dissatisfaction,Product dissatisfaction
0489-WMEMG,3,5237,Stayed,70,No,0,Not Applicable,N/A
0491-KAPQG,5,2071,Stayed,39,No,0,Not Applicable,N/A
0495-RVCBF,3,2066,Churned,75,Yes,1,Other,Poor expertise of online support
0495-ZBNGW,2,4324,Churned,90,Yes,1,Competitor,Competitor offered more data
0496-AHOOK,3,4310,Stayed,68,No,0,Not Applicable,N/A
0504-HHAPI,3,2420,Churned,96,Yes,1,Other,Don't know
0505-SPOOW,4,4500,Stayed,30,No,0,Not Applicable,N/A
0506-LVNGN,1,4028,Churned,90,Yes,1,Competitor,Competitor had better devices
0506-YLVKJ,3,3136,Stayed,35,No,0,Not Applicable,N/A
0508-OOLTO,3,3916,Joined,67,No,0,Not Applicable,N/A
0508-SQWPL,5,5506,Stayed,23,No,0,Not Applicable,N/A
0511-JTEOY,2,5824,Churned,91,Yes,1,Competitor,Competitor made better offer
0512-FLFDW,5,6442,Stayed,34,No,0,Not Applicable,N/A
0513-RBGPE,3,5229,Stayed,66,No,0,Not Applicable,N/A
0515-YPMCW,1,3525,Churned,90,Yes,1,Competitor,Competitor had better devices
0516-OOHAR,3,3411,Stayed,50,No,0,Not Applicable,N/A
0516-QREYC,5,3740,Stayed,71,No,0,Not Applicable,N/A
0516-UXRMT,3,5801,Stayed,71,No,0,Not Applicable,N/A
0516-VRYBW,3,4931,Churned,85,Yes,1,Attitude,Attitude of support person
0516-WJVXC,1,5476,Churned,78,Yes,1,Dissatisfaction,Network reliability
0519-DRGTI,4,2522,Stayed,49,No,0,Not Applicable,N/A
0519-XUZJU,2,3963,Churned,93,Yes,1,Dissatisfaction,Service dissatisfaction
0520-FDVVT,3,2473,Churned,80,Yes,1,Price,Price too high
0523-VNGTF,3,5185,Stayed,70,No,0,Not Applicable,N/A
0524-IAVZO,2,3698,Churned,90,Yes,1,Other,Don't know
0526-SXDJP,4,6091,Stayed,29,No,0,Not Applicable,N/A
0529-ONKER,3,2099,Churned,96,Yes,1,Attitude,Attitude of support person
0530-IJVDB,4,5414,Stayed,65,No,0,Not Applicable,N/A
0531-XBKMM,3,5058,Stayed,57,No,0,Not Applicable,N/A
0531-ZZJWQ,5,4958,Stayed,54,No,0,Not Applicable,N/A
0533-BNWKF,1,5502,Churned,91,Yes,1,Competitor,Competitor made better offer
0533-UCAAU,5,5462,Stayed,40,No,0,Not Applicable,N/A
0536-ACXIP,3,6452,Stayed,53,No,0,Not Applicable,N/A
0536-BGFMZ,4,5145,Stayed,41,No,0,Not Applicable,N/A
0536-ESJEP,4,4544,Stayed,59,No,0,Not Applicable,N/A
0537-QYZZN,3,3412,Stayed,36,No,0,Not Applicable,N/A
0541-FITGH,3,5766,Joined,34,No,0,Not Applicable,N/A
0547-HURJB,3,4001,Stayed,70,No,0,Not Applicable,N/A
0549-CYCQN,5,4673,Stayed,59,No,0,Not Applicable,N/A
0550-DCXLH,4,4645,Stayed,65,No,0,Not Applicable,N/A
0556-FJEGU,4,4474,Stayed,58,No,0,Not Applicable,N/A
0557-ASKVU,5,4948,Stayed,33,No,0,Not Applicable,N/A
0559-CKHUS,3,5758,Stayed,77,No,0,Not Applicable,N/A
