customer_id;customer_status;refer_a_friend;num_referrals;tenure_months;offer;phone_service;avg_monthly_longdist_charge;multiple_lines;internet_service;internet_type;avg_monthly_gb_download;online_security;online_backup;device_protection_plan;premium_tech_support;streaming_tv;streaming_movies;streaming_music;unlimited_data;contract;paperless_billing;payment_method;monthly_charge;total_charges;total_refunds;total_extra_charges;total_longdist_charges;total_revenue
0082-OQIQY;Stayed;No;0;29;None;Yes;2,05;No;Yes;Fiber Optic;17;No;No;No;Yes;Yes;Yes;Yes;No;Month-to-Month;Yes;Bank Withdrawal;94,2;2607,6;0;20;59,45;2687,05
0083-PIVIK;Stayed;No;0;64;None;Yes;5,49;Yes;Yes;DSL;69;Yes;Yes;Yes;Yes;Yes;No;No;No;One Year;No;Bank Withdrawal;81,25;5567,55;0;40;351,36;5958,91
0089-IIQKO;Stayed;Yes;1;39;None;Yes;24,38;Yes;Yes;Fiber Optic;53;No;No;No;Yes;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Credit Card;99,95;3767,4;0;0;950,82;4718,22
0093-EXYQL;Stayed;No;0;40;None;Yes;44,14;No;Yes;Fiber Optic;23;No;No;No;No;Yes;Yes;No;Yes;Two Year;Yes;Bank Withdrawal;91,55;3673,6;0;0;1765,6;5439,2
0093-XWZFY;Churned;No;0;40;None;Yes;37,69;Yes;Yes;Fiber Optic;15;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Credit Card;104,5;4036,85;0;0;1507,6;5544,45
0094-OIFMO;Churned;No;0;11;Offer D;Yes;11,59;No;Yes;Fiber Optic;29;No;Yes;No;No;Yes;Yes;No;No;Month-to-Month;Yes;Bank Withdrawal;95;1120,3;0;120;127,49;1367,79
0096-BXERS;Stayed;Yes;10;6;Offer E;Yes;42,66;Yes;Yes;Cable;85;No;No;No;No;No;No;No;Yes;Month-to-Month;No;Bank Withdrawal;50,35;314,55;0;0;255,96;570,51
0096-FCPUF;Stayed;No;0;30;None;Yes;2,64;Yes;Yes;DSL;15;Yes;No;No;No;No;Yes;Yes;Yes;Month-to-Month;Yes;Mailed Check;64,5;1888,45;0;0;79,2;1967,65
0098-BOWSO;Stayed;No;0;27;None;Yes;20,66;No;No;None;0;No;No;No;No;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;19,4;529,8;0;0;557,82;1087,62
0100-DUVFC;Stayed;Yes;3;70;None;Yes;39,49;Yes;Yes;Fiber Optic;28;No;Yes;Yes;No;Yes;Yes;No;Yes;One Year;Yes;Bank Withdrawal;104,8;7308,95;6,11;0;2764,3;10067,14
0103-CSITQ;Stayed;Yes;10;57;Offer B;Yes;8,01;Yes;Yes;Fiber Optic;73;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;One Year;Yes;Bank Withdrawal;109,4;6252,7;0;0;456,57;6709,27
0104-PPXDV;Stayed;Yes;10;58;None;Yes;18,37;No;Yes;DSL;18;No;No;Yes;No;No;No;No;Yes;One Year;No;Credit Card;50,3;2878,55;10,23;0;1065,46;3933,78
0106-GHRQR;Stayed;No;0;16;None;Yes;25,71;Yes;Yes;DSL;48;No;Yes;Yes;No;No;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;71,4;1212,1;0;0;411,36;1623,46
0106-UGRDO;Stayed;Yes;3;69;Offer A;Yes;38,52;Yes;Yes;Fiber Optic;27;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Two Year;Yes;Bank Withdrawal;116;8182,85;0;0;2657,88;10840,73
0107-WESLM;Churned;No;0;1;Offer E;Yes;31,77;No;No;None;0;No;No;No;No;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;19,85;19,85;0;0;31,77;51,62
0107-YHINA;Churned;No;0;1;None;Yes;40,71;Yes;Yes;Fiber Optic;25;No;No;Yes;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;99,75;99,75;0;0;40,71;140,46
0111-KLBQG;Stayed;Yes;9;32;Offer C;Yes;31,86;No;Yes;Fiber Optic;23;No;Yes;No;No;Yes;Yes;Yes;Yes;One Year;Yes;Mailed Check;93,95;2861,45;0;0;1019,52;3880,97
0112-QAWRZ;Stayed;Yes;8;16;Offer D;Yes;48,71;Yes;Yes;Fiber Optic;12;No;No;Yes;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;90,8;1442,2;0;0;779,36;2221,56
0112-QWPNC;Churned;Yes;1;49;Offer B;Yes;39,55;Yes;Yes;Cable;10;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;One Year;No;Bank Withdrawal;84,35;4059,35;0;0;1937,95;5997,3
0114-IGABW;Stayed;Yes;2;71;Offer A;No;0;No;Yes;Cable;29;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Two Year;No;Bank Withdrawal;58,25;4145,9;0;0;0;4145,9
0114-PEGZZ;Stayed;No;0;33;None;Yes;49,69;Yes;Yes;Fiber Optic;12;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Month-to-Month;No;Bank Withdrawal;107,55;3645,5;0;0;1639,77;5285,27
0114-RSRRW;Stayed;Yes;9;10;Offer D;Yes;49,6;No;No;None;0;No;No;No;No;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;19,95;187,75;0;0;496;683,75
0115-TFERT;Churned;Yes;1;21;None;Yes;36,26;Yes;Yes;Fiber Optic;59;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Month-to-Month;Yes;Bank Withdrawal;111,2;2317,1;0;120;761,46;3198,56
0117-LFRMW;Churned;Yes;1;37;None;No;0;No;Yes;DSL;23;Yes;Yes;Yes;No;No;No;No;Yes;Month-to-Month;No;Bank Withdrawal;40,2;1448,8;0;0;0;1448,8
0118-JPNOY;Stayed;No;0;26;None;Yes;33,74;No;Yes;Fiber Optic;7;Yes;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Credit Card;85,8;2193,65;0;0;877,24;3070,89
0121-SNYRK;Stayed;No;0;50;Offer B;No;0;No;Yes;DSL;7;Yes;No;No;Yes;No;No;No;Yes;One Year;Yes;Credit Card;35,4;1748,9;0;0;0;1748,9
0122-OAHPZ;Churned;No;0;7;None;Yes;28,62;Yes;Yes;Fiber Optic;26;No;No;No;No;No;No;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;73,85;511,25;13,03;0;200,34;698,56
0123-CRBRT;Stayed;Yes;1;61;Offer B;Yes;47,19;Yes;Yes;DSL;28;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Two Year;No;Mailed Check;88,1;5526,75;0;0;2878,59;8405,34
0125-LZQXK;Churned;No;0;15;Offer D;Yes;45,92;No;Yes;Fiber Optic;12;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;101,35;1553,95;0;0;688,8;2242,75
0128-MKWSG;Stayed;No;0;26;None;No;0;No;Yes;DSL;19;Yes;No;No;Yes;No;Yes;Yes;Yes;Month-to-Month;No;Credit Card;45,8;1147;0;0;0;1147
0129-KPTWJ;Stayed;Yes;9;72;None;Yes;33,22;No;Yes;Fiber Optic;23;No;No;Yes;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;94,65;6747,35;0;0;2391,84;9139,19
0129-QMPDR;Stayed;Yes;1;44;None;Yes;27,4;No;No;None;0;No;No;No;No;No;No;No;No;One Year;Yes;Bank Withdrawal;20,5;865,05;0;0;1205,6;2070,65
0130-SXOUN;Stayed;No;0;66;Offer A;Yes;48,78;Yes;Yes;Fiber Optic;8;No;Yes;No;No;No;Yes;Yes;No;Month-to-Month;No;Credit Card;89,4;5976,9;36,02;40;3219,48;9200,36
0133-BMFZO;Churned;No;0;2;None;Yes;36,81;No;Yes;Fiber Optic;16;Yes;Yes;No;Yes;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;86,25;181,65;0;0;73,62;255,27
0134-XWXCE;Stayed;No;0;44;None;Yes;7,72;No;Yes;DSL;17;No;No;Yes;Yes;Yes;Yes;Yes;Yes;One Year;No;Bank Withdrawal;74,85;3268,05;17,91;0;339,68;3589,82
0135-NMXAP;Churned;No;0;12;Offer D;Yes;14,38;Yes;Yes;Fiber Optic;6;No;Yes;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;89,75;1052,4;0;0;172,56;1224,96
0136-IFMYD;Stayed;Yes;1;69;None;Yes;18,41;Yes;Yes;Fiber Optic;17;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Two Year;Yes;Bank Withdrawal;109,95;7634,25;0;0;1270,29;8904,54
0137-OCGAB;Churned;No;0;1;Offer E;Yes;1,23;Yes;Yes;Fiber Optic;69;No;Yes;No;No;No;No;No;Yes;Month-to-Month;Yes;Mailed Check;80,2;80,2;0;0;1,23;81,43
0137-UDEUO;Churned;No;0;3;Offer E;Yes;25,75;No;No;None;0;No;No;No;No;No;No;No;No;Month-to-Month;No;Credit Card;19,85;63,75;0;0;77,25;141
0139-IVFJG;Joined;Yes;10;2;None;Yes;4,65;No;Yes;Fiber Optic;53;Yes;Yes;No;No;Yes;No;No;Yes;Month-to-Month;No;Bank Withdrawal;90,35;190,5;0;0;9,3;199,8
0141-YEAYS;Stayed;No;0;27;None;Yes;2,97;Yes;Yes;Fiber Optic;4;No;Yes;Yes;No;No;No;No;Yes;Two Year;Yes;Bank Withdrawal;86,45;2401,05;0;0;80,19;2481,24
0142-GVYSN;Stayed;No;0;26;Offer C;Yes;13,34;No;No;None;0;No;No;No;No;No;No;No;No;Month-to-Month;Yes;Bank Withdrawal;20,3;511,25;0;0;346,84;858,09
0147-ESWWR;Stayed;Yes;9;39;None;Yes;20,15;Yes;Yes;Fiber Optic;21;No;No;No;Yes;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;101,25;3949,15;0;0;785,85;4735
0148-DCDOS;Churned;No;0;25;None;Yes;34,88;Yes;Yes;Fiber Optic;8;No;No;No;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;94,7;2362,1;0;0;872;3234,1
0151-ONTOV;Churned;No;0;1;Offer E;Yes;39,81;No;Yes;Fiber Optic;23;No;No;No;No;No;No;No;Yes;Month-to-Month;No;Mailed Check;70,9;70,9;0;0;39,81;110,71
0156-FVPTA;Churned;Yes;1;22;Offer D;Yes;27,24;No;Yes;DSL;21;Yes;No;No;Yes;No;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;54,2;1152,7;0;0;599,28;1751,98
0164-APGRB;Stayed;No;0;72;Offer A;Yes;48,37;Yes;Yes;Fiber Optic;5;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Two Year;Yes;Bank Withdrawal;114,9;8496,7;0;0;3482,64;11979,34
0164-XAIRP;Stayed;No;0;24;None;Yes;10,64;No;No;None;0;No;No;No;No;No;No;No;No;Two Year;Yes;Bank Withdrawal;19,55;470,2;0;0;255,36;725,56
0168-XZKBB;Stayed;Yes;8;19;None;Yes;7,84;Yes;Yes;Fiber Optic;16;No;No;No;No;Yes;No;No;Yes;Month-to-Month;Yes;Bank Withdrawal;86,85;1564,4;0;0;148,96;1713,36
0174-QRVVY;Stayed;Yes;2;71;None;Yes;9,2;Yes;No;None;0;No;No;No;No;No;No;No;No;Two Year;No;Credit Card;25,35;1847,55;0;0;653,2;2500,75
0177-PXBAT;Stayed;Yes;7;33;None;Yes;25,15;Yes;Yes;Fiber Optic;20;Yes;No;Yes;Yes;Yes;Yes;No;Yes;One Year;Yes;Bank Withdrawal;109,9;3694,7;0;0;829,95;4524,65
0178-CIIKR;Joined;No;0;3;None;Yes;2,69;No;No;None;0;No;No;No;No;No;No;No;No;Month-to-Month;No;Credit Card;19,95;58;0;0;8,07;66,07
0178-SZBHO;Stayed;Yes;7;47;None;Yes;1,09;Yes;Yes;Fiber Optic;13;No;Yes;No;No;Yes;No;No;Yes;Month-to-Month;No;Bank Withdrawal;87,2;4017,45;0;0;51,23;4068,68
0181-RITDD;Stayed;Yes;2;62;None;Yes;1,76;No;Yes;Fiber Optic;20;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Two Year;No;Credit Card;108,15;6825,65;0;0;109,12;6934,77
0186-CAERR;Stayed;No;0;71;None;Yes;2,88;Yes;Yes;Fiber Optic;48;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;One Year;Yes;Bank Withdrawal;116,3;8309,55;0;0;204,48;8514,03
0187-QSXOE;Stayed;Yes;8;7;None;Yes;41,97;No;Yes;Fiber Optic;11;No;No;No;No;Yes;Yes;Yes;Yes;Two Year;Yes;Bank Withdrawal;89;605,45;0;0;293,79;899,24
0187-WZNAB;Stayed;Yes;6;27;Offer C;Yes;46,66;No;Yes;Fiber Optic;28;Yes;No;No;No;No;No;No;Yes;Month-to-Month;No;Credit Card;74,4;1972,35;0;0;1259,82;3232,17
0188-GWFLE;Joined;No;0;2;None;Yes;1,81;No;No;None;0;No;No;No;No;No;No;No;No;Month-to-Month;No;Credit Card;20,05;33,7;0;0;3,62;37,32
0191-EQUUH;Stayed;No;0;25;Offer C;No;0;No;Yes;Cable;75;Yes;No;No;Yes;No;No;No;Yes;Two Year;No;Bank Withdrawal;35,05;844,45;0;0;0;844,45
0191-ZHSKZ;Stayed;No;0;30;None;Yes;38,61;No;Yes;DSL;5;Yes;Yes;No;No;Yes;Yes;No;Yes;One Year;Yes;Bank Withdrawal;74,75;2111,3;0;0;1158,3;3269,6
0193-ESZXP;Churned;Yes;1;58;None;Yes;16,94;No;Yes;Fiber Optic;19;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;One Year;Yes;Credit Card;105,5;6205,5;0;0;982,52;7188,02
0195-IESCP;Churned;Yes;1;10;Offer D;Yes;2,02;Yes;Yes;Fiber Optic;82;No;No;No;No;No;Yes;Yes;No;Month-to-Month;Yes;Bank Withdrawal;85,25;855,3;0;100;20,2;975,5
0196-JTUQI;Stayed;No;0;9;None;Yes;9,27;Yes;Yes;Fiber Optic;28;No;No;No;No;No;No;No;Yes;Month-to-Month;Yes;Credit Card;75,2;633,85;0;0;83,43;717,28
0196-VULGZ;Churned;Yes;1;6;None;Yes;28,71;Yes;Yes;Fiber Optic;17;No;No;No;No;No;Yes;No;Yes;Month-to-Month;Yes;Bank Withdrawal;84,35;474,9;0;0;172,26;647,16
0197-PNKNK;Stayed;Yes;7;69;None;Yes;38,92;Yes;Yes;Fiber Optic;16;Yes;No;Yes;No;No;No;No;No;One Year;No;Bank Withdrawal;84,45;5848,6;0;40;2685,48;8574,08
0201-MIBOL;Stayed;No;0;66;None;Yes;10,45;Yes;Yes;Fiber Optic;20;Yes;No;No;No;Yes;Yes;Yes;Yes;Two Year;Yes;Bank Withdrawal;102,4;6471,85;0;0;689,7;7161,55
0201-OAMXR;Churned;No;0;70;Offer A;Yes;10,21;Yes;Yes;Fiber Optic;52;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;One Year;No;Credit Card;115,55;8127,6;0;0;714,7;8842,3
0203-HHYIJ;Churned;No;0;25;Offer C;Yes;5,57;Yes;No;None;0;No;No;No;No;No;No;No;No;One Year;No;Bank Withdrawal;25,3;676,35;0;0;139,25;815,6
0206-OYVOC;Stayed;Yes;1;46;Offer B;Yes;24,33;No;No;None;0;No;No;No;No;No;No;No;No;Two Year;Yes;Credit Card;19,25;864,2;0;0;1119,18;1983,38
0206-TBWLC;Stayed;Yes;7;54;Offer B;Yes;11,4;Yes;Yes;Fiber Optic;26;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;One Year;Yes;Credit Card;114,65;6049,5;0;0;615,6;6665,1
0207-MDKNV;Churned;No;0;15;None;Yes;22,39;No;Yes;Fiber Optic;7;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Month-to-Month;No;Bank Withdrawal;105,1;1582,75;0;0;335,85;1918,6
0208-BPQEJ;Stayed;No;0;12;Offer D;Yes;8,25;No;No;None;0;No;No;No;No;No;No;No;No;Month-to-Month;No;Bank Withdrawal;19,4;198,1;0;0;99;297,1
0212-ISBBF;Stayed;No;0;22;None;No;0;No;Yes;Cable;22;No;Yes;No;No;Yes;Yes;Yes;Yes;Month-to-Month;Yes;Bank Withdrawal;50,35;1098,85;0;0;0;1098,85
0214-JHPFW;Stayed;Yes;9;70;None;No;0;No;Yes;Cable;85;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Two Year;No;Bank Withdrawal;57,8;4039,3;1,01;0;0;4038,29
0215-BQKGS;Stayed;No;0;30;Offer C;Yes;24,73;No;Yes;Fiber Optic;20;Yes;Yes;Yes;No;No;No;No;No;Month-to-Month;Yes;Credit Card;84,3;2438,6;0;130;741,9;3310,5
0218-QNVAS;Stayed;Yes;1;71;Offer A;Yes;28,34;Yes;Yes;Fiber Optic;59;No;Yes;No;No;Yes;Yes;Yes;Yes;One Year;No;Bank Withdrawal;100,55;7113,75;16,99;0;2012,14;9108,9
0219-QAERP;Stayed;Yes;2;30;None;Yes;9,81;No;No;None;0;No;No;No;No;No;No;No;No;One Year;No;Credit Card;19,8;576,65;0;0;294,3;870,95
