customer_id,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type
0151-ONTOV,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic
0156-FVPTA,Yes,Yes,Yes,No,No,Yes,No,No,No,DSL
0164-APGRB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0164-XAIRP,Yes,No,No,No,No,No,No,No,No,None
0168-XZKBB,Yes,Yes,No,No,No,No,Yes,No,No,Fiber Optic
0174-QRVVY,Yes,No,No,No,No,No,No,No,No,None
0177-PXBAT,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Fiber Optic
0178-CIIKR,Yes,No,No,No,No,No,No,No,No,None
0178-SZBHO,Yes,Yes,No,Yes,No,No,Yes,No,No,Fiber Optic
0181-RITDD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0186-CAERR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0187-QSXOE,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic
0187-WZNAB,Yes,Yes,Yes,No,No,No,No,No,No,Fiber Optic
0188-GWFLE,Yes,No,No,No,No,No,No,No,No,None
0191-EQUUH,No,Yes,Yes,No,No,Yes,No,No,No,Cable
0191-ZHSKZ,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,DSL
0193-ESZXP,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic
0195-IESCP,Yes,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic
0196-JTUQI,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic
0196-VULGZ,Yes,Yes,No,No,No,No,No,Yes,No,Fiber Optic
0197-PNKNK,Yes,Yes,Yes,No,Yes,No,No,No,No,Fiber Optic
0201-MIBOL,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Fiber Optic
0201-OAMXR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0203-HHYIJ,Yes,No,No,No,No,No,No,No,No,None
0206-OYVOC,Yes,No,No,No,No,No,No,No,No,None
0206-TBWLC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0207-MDKNV,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0208-BPQEJ,Yes,No,No,No,No,No,No,No,No,None
0212-ISBBF,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Cable
0214-JHPFW,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Cable
0215-BQKGS,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Fiber Optic
0218-QNVAS,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic
0219-QAERP,Yes,No,No,No,No,No,No,No,No,None
0219-YTZUE,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Fiber Optic
0220-EBGCE,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Fiber Optic
0221-NAUXK,Yes,No,No,No,No,No,No,No,No,None
0221-WMXNQ,Yes,Yes,Yes,No,No,No,No,No,No,Fiber Optic
0222-CNVPT,No,Yes,Yes,No,No,No,Yes,Yes,Yes,DSL
0224-HJAPT,Yes,Yes,No,No,No,No,No,No,Yes,Cable
0224-NIJLP,Yes,No,No,No,No,No,No,No,No,None
0224-RLWWD,Yes,Yes,No,No,No,No,No,No,No,Cable
0225-ZORZP,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Fiber Optic
0228-MAUWC,Yes,Yes,No,No,Yes,Yes,No,No,No,DSL
0229-LFJAF,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL
0230-UBYPQ,No,Yes,Yes,No,No,Yes,No,No,No,DSL
0230-WEQUW,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL
0231-LXVAP,Yes,Yes,No,No,No,Yes,No,No,No,Fiber Optic
0233-FTHAV,Yes,Yes,No,No,Yes,No,No,No,No,Fiber Optic
0234-TEVTT,No,Yes,Yes,No,Yes,No,No,Yes,Yes,DSL
0235-KGSLC,Yes,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic
0236-HFWSV,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic
0237-YFUTL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic
0238-WHBIQ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable
0239-OXEXL,Yes,Yes,Yes,Yes,No,No,No,No,No,Fiber Optic
0244-LGNFY,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL
0247-SLUJI,Yes,No,No,No,No,No,No,No,No,None
0248-IPDFW,Yes,Yes,No,No,No,No,No,No,No,Cable
0248-PGHBZ,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Fiber Optic
0253-ZTEOB,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,DSL
0254-FNMCI,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0254-KCJGT,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Cable
0254-WWRKD,Yes,Yes,No,Yes,No,No,No,No,No,Cable
0256-LTHVJ,Yes,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic
0257-KXZGU,Yes,Yes,No,Yes,Yes,No,No,No,Yes,DSL
0257-ZESQC,Yes,Yes,Yes,No,No,No,No,No,No,Cable
0258-NOKBL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Fiber Optic
0259-GBZSH,Yes,Yes,No,No,No,No,Yes,No,Yes,Cable
0260-ZDLGK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Cable
0263-FJTQO,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Cable
0264-CNITK,Yes,No,No,No,No,No,No,No,No,None
0265-EDXBD,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic
0265-PSUAE,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0266-CLZKZ,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0266-GMEAO,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0268-QKIWO,Yes,No,No,No,No,No,No,No,No,None
0269-XFESX,Yes,No,No,No,No,No,No,No,No,None
0270-THENM,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL
0274-JKUJR,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Cable
0277-BKSQP,Yes,Yes,No,No,No,No,Yes,No,No,DSL
0277-ORXQS,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Cable
0278-YXOOG,Yes,No,No,No,No,No,No,No,No,None
0280-XJGEX,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic
0281-CNTZX,Yes,No,No,No,No,No,No,No,No,None
0282-NVSJS,No,Yes,No,No,No,Yes,No,No,No,DSL
0285-INHLN,Yes,Yes,Yes,Yes,No,No,No,No,No,DSL
0289-IVARM,Yes,Yes,Yes,Yes,Yes,No,No,No,No,DSL
0292-WEGCH,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,DSL
0295-PPHDO,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic
0295-QVKPB,Yes,Yes,No,No,Yes,Yes,Yes,No,No,DSL
0297-RBCSG,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,DSL
0298-XACET,No,Yes,No,Yes,Yes,Yes,Yes,No,No,DSL
0301-FIDRB,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL
0301-KOBTQ,Yes,No,No,No,No,No,No,No,No,None
0302-JOIVN,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic
0303-UNCIP,Yes,Yes,No,No,Yes,No,No,Yes,Yes,DSL
0303-WMMRN,Yes,No,No,No,No,No,No,No,No,None
0305-SQECB,No,Yes,Yes,No,No,Yes,No,No,No,DSL
0306-JAELE,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Fiber Optic
0307-BCOPK,Yes,No,No,No,No,No,No,No,No,None
0308-GIQJT,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Fiber Optic
0308-IVGOK,No,Yes,No,Yes,Yes,Yes,No,No,No,DSL
0310-MVLET,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic
0310-SUCIN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable
0310-VQXAM,Yes,No,No,No,No,No,No,No,No,None
0311-QYWSS,Yes,Yes,Yes,No,No,No,No,No,No,DSL
0311-UNPFF,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic
0314-TKOSI,Yes,Yes,Yes,Yes,No,No,No,No,No,Cable
0315-LVCRK,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Fiber Optic
0318-QUUOB,Yes,Yes,No,No,No,No,Yes,No,Yes,Fiber Optic
0318-ZOPWS,Yes,No,No,No,No,No,No,No,No,None
0319-QZTCO,Yes,Yes,No,Yes,No,No,Yes,No,No,DSL
0320-DWVTU,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Fiber Optic
0320-JDNQG,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Fiber Optic
0322-CHQRU,Yes,Yes,No,No,No,No,No,No,No,DSL
0322-YINQP,Yes,Yes,Yes,No,No,No,No,No,No,DSL
0323-XWWTN,Yes,No,No,No,No,No,No,No,No,None
0324-BRPCJ,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Cable
0325-XBFAC,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0326-VDYXE,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0327-WFZSY,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0328-GRPMV,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic
0329-GTIAJ,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic
0330-BGYZE,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic
0330-IVZHA,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic
0334-GDDSO,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic
0334-ZFJSR,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Cable
0336-KXKFK,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL
0336-PIKEI,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,DSL
0337-CNPZE,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic
0343-QLUZP,No,Yes,Yes,Yes,Yes,No,No,No,No,DSL
0345-HKJVM,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic
0345-XMMUG,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0347-UBKUZ,Yes,No,No,No,No,No,No,No,No,None
0348-SDKOL,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0354-VXMJC,Yes,No,No,No,No,No,No,No,No,None
0354-WYROK,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Fiber Optic
0356-ERHVT,Yes,Yes,No,No,No,No,No,No,No,Cable
0356-OBMAC,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Fiber Optic
0357-NVCRI,Yes,No,No,No,No,No,No,No,No,None
0361-HJRDX,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL
0362-RAOQO,Yes,No,No,No,No,No,No,No,No,None
0362-ZBZWJ,Yes,Yes,No,No,No,No,No,Yes,Yes,Fiber Optic
0363-QJVFX,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic
0363-SVHYR,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DSL
0365-BZUWY,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic
0365-GXEZS,Yes,Yes,No,No,Yes,Yes,No,No,No,Fiber Optic
0365-TRTPY,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Fiber Optic
0366-NQSHS,Yes,No,No,No,No,No,No,No,No,None
0369-ZGOVK,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic
0373-AIVNJ,No,Yes,Yes,Yes,Yes,No,No,No,No,Cable
0374-AACSZ,Yes,Yes,Yes,No,No,No,No,No,No,DSL
0374-FIUCA,Yes,No,No,No,No,No,No,No,No,None
0374-IOEGQ,Yes,Yes,No,No,No,No,No,No,No,Cable
0375-HVGXO,No,Yes,No,No,No,No,Yes,No,No,DSL
0376-OIWME,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Fiber Optic
0376-YMCJC,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Cable
0377-JBKKT,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,DSL
0378-CJKPV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0378-NHQXU,Yes,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic
0378-TOVMS,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Fiber Optic
0378-XSZPU,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Cable
0379-DJQHR,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,DSL
0380-NEAVX,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic
0380-ZCSBI,Yes,No,No,No,No,No,No,No,No,None
0383-CLDDA,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL
0384-LPITE,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Cable
0384-RVBPI,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,DSL
0386-CWRGM,Yes,No,No,No,No,No,No,No,No,None
0388-EOPEX,Yes,Yes,Yes,No,No,No,No,No,No,Fiber Optic
0390-DCFDQ,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic
0392-BZIUW,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0394-YONDK,Yes,No,No,No,No,No,No,No,No,None
0396-HUJBP,Yes,No,No,No,No,No,No,No,No,None
0396-UKGAI,Yes,Yes,No,Yes,No,Yes,No,No,Yes,DSL
0396-YCHWO,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic
0397-GZBBC,Yes,Yes,No,No,No,No,Yes,Yes,No,Fiber Optic
0397-ZXWQF,Yes,No,No,No,No,No,No,No,No,None
0401-WDBXM,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0402-CQAJN,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic
0402-OAMEN,Yes,No,No,No,No,No,No,No,No,None
0404-AHASP,Yes,No,No,No,No,No,No,No,No,None
0404-SWRVG,Yes,Yes,No,No,No,No,No,No,Yes,Fiber Optic
0406-BPDVR,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic
0407-BDJKB,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Fiber Optic
0409-WTMPL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Fiber Optic
0410-IPFTY,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Fiber Optic
0411-EZJZE,Yes,Yes,No,No,No,No,Yes,No,No,DSL
0412-UCCNP,Yes,Yes,Yes,No,Yes,Yes,No,No,No,DSL
0415-MOSGF,Yes,Yes,No,No,No,No,No,No,No,DSL
0419-YAAPX,Yes,Yes,No,Yes,No,No,Yes,No,No,Fiber Optic
0420-BWTPW,No,Yes,No,No,No,No,No,No,No,DSL
0420-HLGXF,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Fiber Optic
0420-TXVSG,Yes,Yes,Yes,Yes,Yes,No,No,No,No,DSL
0422-OHQHQ,Yes,No,No,No,No,No,No,No,No,None
0422-UXFAP,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0423-UDIJQ,Yes,Yes,No,No,No,Yes,No,No,No,DSL
0426-TIRNE,Yes,No,No,No,No,No,No,No,No,None
0428-AXXLJ,Yes,No,No,No,No,No,No,No,No,None
0428-IKYCP,Yes,Yes,No,No,Yes,No,Yes,No,No,Fiber Optic
0430-IHCDJ,Yes,Yes,No,No,No,No,No,No,No,DSL
0431-APWVY,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic
0432-CAJZV,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Fiber Optic
0434-CSFON,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0436-TWFFZ,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL
0439-IFYUN,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic
0440-EKDCF,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Cable
0440-MOGPM,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,DSL
0440-QEXBZ,Yes,Yes,No,No,No,No,No,No,No,DSL
0440-UEDAI,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Fiber Optic
0442-TDYUO,Yes,No,No,No,No,No,No,No,No,None
0442-ZXKVS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fiber Optic
0447-BEMNG,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Cable
0447-RXSGD,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic
0454-OKRCT,Yes,Yes,No,Yes,No,Yes,No,No,No,Fiber Optic
0455-ENTCR,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,DSL
0455-XFASS,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic
0458-HEUZG,No,Yes,No,No,Yes,Yes,No,No,No,Cable
0459-SPZHJ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,DSL
0461-CVKMU,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Fiber Optic
0463-TXOAK,Yes,No,No,No,No,No,No,No,No,None
0463-WZZKO,Yes,No,No,No,No,No,No,No,No,None
0463-ZSDNT,Yes,Yes,No,No,No,No,No,Yes,Yes,DSL
0464-WJTKO,Yes,No,No,No,No,No,No,No,No,None
0468-YRPXN,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0471-ARVMX,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0471-LVHGK,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,DSL
0475-RIJEP,Yes,Yes,No,Yes,No,No,No,No,No,Fiber Optic
0479-HMSWA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic
0480-BIXDE,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Fiber Optic
0480-KYJVA,Yes,No,No,No,No,No,No,No,No,None
0481-SUMCB,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Fiber Optic
0484-FFVBJ,Yes,Yes,No,No,No,No,Yes,Yes,Yes,DSL
0484-JPBRU,Yes,No,No,No,No,No,No,No,No,None
0485-ZBSLN,Yes,No,No,No,No,No,No,No,No,None
0486-HECZI,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Fiber Optic
0486-LGCCH,Yes,No,No,No,No,No,No,No,No,None
0487-CRLZF,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,DSL
0487-RPVUM,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Fiber Optic
0487-VVUVK,Yes,No,No,No,No,No,No,No,No,None
0488-GSLFR,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic
0489-WMEMG,Yes,Yes,No,No,No,Yes,No,No,No,Cable
0491-KAPQG,Yes,Yes,No,No,No,No,No,No,Yes,Fiber Optic
