customer_id,contract,paperless_billing,payment_method,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
0082-LDZUE,Month-to-Month,Yes,Mailed check,44.3,42.95,44.3,0,0,42.95,87.25
0082-OQIQY,Month-to-Month,Yes,Electronic check,94.2,2.05,2607.6,0,20,59.45,2687.05
0083-PIVIK,One Year,No,Electronic check,81.25,5.49,5567.55,0,40,351.36,5958.91
0089-IIQKO,Month-to-Month,Yes,Credit card (automatic),99.95,24.38,3767.4,0,0,950.82,4718.22
0093-EXYQL,Two Year,Yes,Electronic check,91.55,44.14,3673.6,0,0,1765.6,5439.2
0093-XWZFY,Month-to-Month,Yes,Credit card (automatic),104.5,37.69,4036.85,0,0,1507.6,5544.45
0094-OIFMO,Month-to-Month,Yes,Electronic check,95,11.59,1120.3,0,120,127.49,1367.79
0096-BXERS,Month-to-Month,No,Electronic check,50.35,42.66,314.55,0,0,255.96,570.51
0096-FCPUF,Month-to-Month,Yes,Mailed check,64.5,2.64,1888.45,0,0,79.2,1967.65
0098-BOWSO,Month-to-Month,Yes,Electronic check,19.4,20.66,529.8,0,0,557.82,1087.62
0100-DUVFC,One Year,Yes,Electronic check,104.8,39.49,7308.95,6.11,0,2764.3,10067.14
0103-CSITQ,One Year,Yes,Bank transfer (automatic),109.4,8.01,6252.7,0,0,456.57,6709.27
0104-PPXDV,One Year,No,Credit card (automatic),50.3,18.37,2878.55,10.23,0,1065.46,3933.78
0106-GHRQR,Month-to-Month,Yes,Bank transfer (automatic),71.4,25.71,1212.1,0,0,411.36,1623.46
0106-UGRDO,Two Year,Yes,Electronic check,116,38.52,8182.85,0,0,2657.88,10840.73
0107-WESLM,Month-to-Month,Yes,Electronic check,19.85,31.77,19.85,0,0,31.77,51.62
0107-YHINA,Month-to-Month,Yes,Electronic check,99.75,40.71,99.75,0,0,40.71,140.46
0111-KLBQG,One Year,Yes,Mailed check,93.95,31.86,2861.45,0,0,1019.52,3880.97
0112-QAWRZ,Month-to-Month,Yes,Bank transfer (automatic),90.8,48.71,1442.2,0,0,779.36,2221.56
0112-QWPNC,One Year,No,Electronic check,84.35,39.55,4059.35,0,0,1937.95,5997.3
0114-IGABW,Two Year,No,Bank transfer (automatic),58.25,0,4145.9,0,0,0,4145.9
0114-PEGZZ,Month-to-Month,No,Electronic check,107.55,49.69,3645.5,0,0,1639.77,5285.27
0114-RSRRW,Month-to-Month,Yes,Bank transfer (automatic),19.95,49.6,187.75,0,0,496,683.75
0115-TFERT,Month-to-Month,Yes,Electronic check,111.2,36.26,2317.1,0,120,761.46,3198.56
0117-LFRMW,Month-to-Month,No,Bank transfer (automatic),40.2,0,1448.8,0,0,0,1448.8
0118-JPNOY,Month-to-Month,Yes,Credit card (automatic),85.8,33.74,2193.65,0,0,877.24,3070.89
0121-SNYRK,One Year,Yes,Mailed check,35.4,0,1748.9,0,0,0,1748.9
0122-OAHPZ,Month-to-Month,Yes,Electronic check,73.85,28.62,511.25,13.03,0,200.34,698.56
0123-CRBRT,Two Year,No,Mailed check,88.1,47.19,5526.75,0,0,2878.59,8405.34
0125-LZQXK,Month-to-Month,Yes,Electronic check,101.35,45.92,1553.95,0,0,688.8,2242.75
0128-MKWSG,Month-to-Month,No,Mailed check,45.8,0,1147,0,0,0,1147
0129-KPTWJ,Month-to-Month,Yes,Electronic check,94.65,33.22,6747.35,0,0,2391.84,9139.19
0129-QMPDR,One Year,Yes,Bank transfer (automatic),20.5,27.4,865.05,0,0,1205.6,2070.65
0130-SXOUN,Month-to-Month,No,Credit card (automatic),89.4,48.78,5976.9,36.02,40,3219.48,9200.36
0133-BMFZO,Month-to-Month,Yes,Electronic check,86.25,36.81,181.65,0,0,73.62,255.27
0134-XWXCE,One Year,No,Bank transfer (automatic),74.85,7.72,3268.05,17.91,0,339.68,3589.82
0135-NMXAP,Month-to-Month,Yes,Bank transfer (automatic),89.75,14.38,1052.4,0,0,172.56,1224.96
0136-IFMYD,Two Year,Yes,Electronic check,109.95,18.41,7634.25,0,0,1270.29,8904.54
0137-OCGAB,Month-to-Month,Yes,Mailed check,80.2,1.23,80.2,0,0,1.23,81.43
0137-UDEUO,Month-to-Month,No,Mailed check,19.85,25.75,63.75,0,0,77.25,141
0139-IVFJG,Month-to-Month,No,Electronic check,90.35,4.65,190.5,0,0,9.3,199.8
0141-YEAYS,Two Year,Yes,Bank transfer (automatic),86.45,2.97,2401.05,0,0,80.19,2481.24
0142-GVYSN,Month-to-Month,Yes,Electronic check,20.3,13.34,511.25,0,0,346.84,858.09
0147-ESWWR,Month-to-Month,Yes,Electronic check,101.25,20.15,3949.15,0,0,785.85,4735
0148-DCDOS,Month-to-Month,Yes,Bank transfer (automatic),94.7,34.88,2362.1,0,0,872,3234.1
0151-ONTOV,Month-to-Month,No,Mailed check,70.9,39.81,70.9,0,0,39.81,110.71
0156-FVPTA,Month-to-Month,Yes,Electronic check,54.2,27.24,1152.7,0,0,599.28,1751.98
0164-APGRB,Two Year,Yes,Electronic check,114.9,48.37,8496.7,0,0,3482.64,11979.34
0164-XAIRP,Two Year,Yes,Bank transfer (automatic),19.55,10.64,470.2,0,0,255.36,725.56
0168-XZKBB,Month-to-Month,Yes,Electronic check,86.85,7.84,1564.4,0,0,148.96,1713.36
0174-QRVVY,Two Year,No,Credit card (automatic),25.35,9.2,1847.55,0,0,653.2,2500.75
0177-PXBAT,One Year,Yes,Bank transfer (automatic),109.9,25.15,3694.7,0,0,829.95,4524.65
0178-CIIKR,Month-to-Month,No,Mailed check,19.95,2.69,58,0,0,8.07,66.07
0178-SZBHO,Month-to-Month,No,Electronic check,87.2,1.09,4017.45,0,0,51.23,4068.68
0181-RITDD,Two Year,No,Mailed check,108.15,1.76,6825.65,0,0,109.12,6934.77
0186-CAERR,One Year,Yes,Bank transfer (automatic),116.3,2.88,8309.55,0,0,204.48,8514.03
0187-QSXOE,Two Year,Yes,Electronic check,89,41.97,605.45,0,0,293.79,899.24
0187-WZNAB,Month-to-Month,No,Mailed check,74.4,46.66,1972.35,0,0,1259.82,3232.17
0188-GWFLE,Month-to-Month,No,Mailed check,20.05,1.81,33.7,0,0,3.62,37.32
0191-EQUUH,Two Year,No,Bank transfer (automatic),35.05,0,844.45,0,0,0,844.45
0191-ZHSKZ,One Year,Yes,Electronic check,74.75,38.61,2111.3,0,0,1158.3,3269.6
0193-ESZXP,One Year,Yes,Credit card (automatic),105.5,16.94,6205.5,0,0,982.52,7188.02
0195-IESCP,Month-to-Month,Yes,Electronic check,85.25,2.02,855.3,0,100,20.2,975.5
0196-JTUQI,Month-to-Month,Yes,Credit card (automatic),75.2,9.27,633.85,0,0,83.43,717.28
0196-VULGZ,Month-to-Month,Yes,Electronic check,84.35,28.71,474.9,0,0,172.26,647.16
0197-PNKNK,One Year,No,Bank transfer (automatic),84.45,38.92,5848.6,0,40,2685.48,8574.08
0201-MIBOL,Two Year,Yes,Bank transfer (automatic),102.4,10.45,6471.85,0,0,689.7,7161.55
0201-OAMXR,One Year,No,Credit card (automatic),115.55,10.21,8127.6,0,0,714.7,8842.3
0203-HHYIJ,One Year,No,Bank transfer (automatic),25.3,5.57,676.35,0,0,139.25,815.6
0206-OYVOC,Two Year,Yes,Mailed check,19.25,24.33,864.2,0,0,1119.18,1983.38
0206-TBWLC,One Year,Yes,Mailed check,114.65,11.4,6049.5,0,0,615.6,6665.1
0207-MDKNV,Month-to-Month,No,Electronic check,105.1,22.39,1582.75,0,0,335.85,1918.6
0208-BPQEJ,Month-to-Month,No,Bank transfer (automatic),19.4,8.25,198.1,0,0,99,297.1
0212-ISBBF,Month-to-Month,Yes,Electronic check,50.35,0,1098.85,0,0,0,1098.85
0214-JHPFW,Two Year,No,Bank transfer (automatic),57.8,0,4039.3,1.01,0,0,4038.29
0215-BQKGS,Month-to-Month,Yes,Credit card (automatic),84.3,24.73,2438.6,0,130,741.9,3310.5
0218-QNVAS,One Year,No,Bank transfer (automatic),100.55,28.34,7113.75,16.99,0,2012.14,9108.9
0219-QAERP,One Year,No,Credit card (automatic),19.8,9.81,576.65,0,0,294.3,870.95
0219-YTZUE,Month-to-Month,Yes,Bank transfer (automatic),84.8,28.77,371.9,0,0,115.08,486.98
0220-EBGCE,Month-to-Month,Yes,Electronic check,85.85,14.14,167.3,0,0,28.28,195.58
0221-NAUXK,One Year,Yes,Bank transfer (automatic),19.95,7.86,219.5,0,0,78.6,298.1
0221-WMXNQ,One Year,No,Electronic check,75.35,36.4,273.4,0,0,145.6,419
0222-CNVPT,Two Year,Yes,Credit card (automatic),48.8,0,2555.05,0,0,0,2555.05
0224-HJAPT,Month-to-Month,No,Electronic check,47.15,22.01,223.15,0,0,110.05,333.2
0224-NIJLP,Two Year,No,Mailed check,20.15,2.87,165.5,0,0,22.96,188.46
0224-RLWWD,One Year,Yes,Electronic check,44.3,23.91,89.3,0,0,47.82,137.12
0225-ZORZP,Month-to-Month,No,Electronic check,84.3,13.72,235.05,0,0,41.16,276.21
0228-MAUWC,Month-to-Month,No,Electronic check,59.55,11.85,1144.6,0,0,225.15,1369.75
0229-LFJAF,Two Year,No,Bank transfer (automatic),69.65,3.66,4908.25,0,0,263.52,5171.77
0230-UBYPQ,One Year,No,Bank transfer (automatic),36.1,0,2298.9,0,0,0,2298.9
0230-WEQUW,Two Year,Yes,Bank transfer (automatic),56.6,0,3789.2,0,0,0,3789.2
0231-LXVAP,Month-to-Month,Yes,Electronic check,75.9,44.56,75.9,0,0,44.56,120.46
0233-FTHAV,One Year,Yes,Bank transfer (automatic),79.2,15.29,4765,0,0,917.4,5682.4
0234-TEVTT,One Year,No,Credit card (automatic),45,0,2196.3,0,0,0,2196.3
0235-KGSLC,Month-to-Month,Yes,Credit card (automatic),85.55,33.34,85.55,0,0,33.34,118.89
0236-HFWSV,Month-to-Month,Yes,Electronic check,93.35,48.93,1444.65,0,0,733.95,2178.6
0237-YFUTL,Month-to-Month,Yes,Bank transfer (automatic),109.65,34.57,5405.8,0,0,1728.5,7134.3
0238-WHBIQ,Two Year,No,Credit card (automatic),89.7,33.75,6339.3,0,0,2430,8769.3
0239-OXEXL,Month-to-Month,No,Mailed check,84.25,43.27,3847.6,0,100,1990.42,5938.02
0244-LGNFY,Two Year,No,Bank transfer (automatic),92.65,30,6733,0,0,2160,8893
0247-SLUJI,Month-to-Month,No,Mailed check,19.7,34.28,19.7,0,0,34.28,53.98
0248-IPDFW,Month-to-Month,Yes,Electronic check,50.1,29.13,50.1,0,0,29.13,79.23
0248-PGHBZ,Two Year,Yes,Bank transfer (automatic),92.45,2.57,6140.85,0,0,172.19,6313.04
0253-ZTEOB,Two Year,No,Electronic check,79.65,8.94,3870.3,0,0,429.12,4299.42
0254-FNMCI,Two Year,Yes,Electronic check,109.9,41.91,7624.2,0,0,3017.52,10641.72
0254-KCJGT,One Year,Yes,Credit card (automatic),81.4,41.34,4354.45,0,0,2149.68,6504.13
0254-WWRKD,One Year,No,Credit card (automatic),50.55,46.9,3431.75,0,0,3142.3,6574.05
0256-LTHVJ,Month-to-Month,Yes,Electronic check,81.05,16.85,2227.1,0,0,471.8,2698.9
0257-KXZGU,Month-to-Month,No,Bank transfer (automatic),62.45,33.28,2045.55,0,0,1064.96,3110.51
0257-ZESQC,Month-to-Month,Yes,Bank transfer (automatic),75.2,7.02,1929.35,0,0,189.54,2118.89
0258-NOKBL,Month-to-Month,No,Electronic check,90.4,31.48,268.45,0,0,94.44,362.89
0259-GBZSH,Month-to-Month,Yes,Electronic check,85.65,40.43,181.5,0,0,80.86,262.36
0260-ZDLGK,Month-to-Month,Yes,Mailed check,72.9,35.49,651.4,0,0,319.41,970.81
0263-FJTQO,Two Year,Yes,Credit card (automatic),70.5,44.49,3486.65,0,0,2224.5,5711.15
0264-CNITK,Two Year,No,Bank transfer (automatic),20.1,31.03,1389.6,0,0,2203.13,3592.73
0265-EDXBD,Month-to-Month,Yes,Electronic check,74.9,47.34,2303.35,0,0,1514.88,3818.23
0265-PSUAE,Month-to-Month,No,Bank transfer (automatic),100.7,27.27,1522.7,0,0,436.32,1959.02
0266-CLZKZ,Two Year,Yes,Bank transfer (automatic),105.65,17.79,6717.9,0,0,1191.93,7909.83
0266-GMEAO,Two Year,Yes,Credit card (automatic),114.3,15.94,8058.55,0,0,1147.68,9206.23
0268-QKIWO,Month-to-Month,No,Electronic check,19.75,24.63,58.85,0,0,73.89,132.74
0269-XFESX,One Year,No,Mailed check,24.35,48.02,538.5,0,0,1104.46,1642.96
0270-THENM,Two Year,No,Bank transfer (automatic),69.85,28.37,5102.35,25.24,0,2042.64,7119.75
0274-JKUJR,Month-to-Month,No,Mailed check,58.85,0,465.7,0,0,0,465.7
0277-BKSQP,Month-to-Month,Yes,Electronic check,54.4,1.56,475.1,0,0,12.48,487.58
0277-ORXQS,Two Year,No,Bank transfer (automatic),50.55,0,3364.55,0,110,0,3474.55
0278-YXOOG,Month-to-Month,No,Mailed check,21.05,34.26,113.85,0,0,171.3,285.15
0280-XJGEX,Month-to-Month,Yes,Bank transfer (automatic),103.7,44.33,5036.3,0,0,2172.17,7208.47
0281-CNTZX,Two Year,Yes,Bank transfer (automatic),19.95,38.36,1234.8,0,0,2416.68,3651.48
0282-NVSJS,Month-to-Month,Yes,Mailed check,29.3,0,355.9,0,0,0,355.9
0285-INHLN,Month-to-Month,Yes,Credit card (automatic),54.75,36.19,1510.3,0,0,977.13,2487.43
0289-IVARM,Month-to-Month,No,Electronic check,60.55,44.81,1982.6,0,0,1568.35,3550.95
0292-WEGCH,Month-to-Month,Yes,Electronic check,86.2,4.33,4524.05,0,0,233.82,4757.87
0295-PPHDO,Month-to-Month,Yes,Electronic check,95.45,5.59,95.45,0,0,5.59,101.04
0295-QVKPB,Month-to-Month,Yes,Credit card (automatic),63.95,13.96,318.1,0,0,69.8,387.9
0297-RBCSG,One Year,Yes,Bank transfer (automatic),65.35,41.79,1231.85,0,60,794.01,2085.86
0298-XACET,Two Year,No,Mailed check,50.2,0,2554,27.01,0,0,2526.99
0301-FIDRB,Two Year,Yes,Bank transfer (automatic),63.8,0,4684.3,0,0,0,4684.3
0301-KOBTQ,Two Year,Yes,Bank transfer (automatic),20.05,14.91,614.45,9.73,0,477.12,1081.84
0302-JOIVN,Month-to-Month,No,Electronic check,101.15,16.88,842.9,0,0,135.04,977.94
0303-UNCIP,One Year,No,Mailed check,65,37.55,2531.8,0,140,1539.55,4211.35
0303-WMMRN,Month-to-Month,Yes,Mailed check,19.25,21.01,86.05,0,0,105.05,191.1
0305-SQECB,One Year,Yes,Mailed check,36.05,0,402.6,0,100,0,502.6
0306-JAELE,Month-to-Month,Yes,Electronic check,96.1,31.09,453.4,0,0,155.45,608.85
0307-BCOPK,One Year,No,Mailed check,19.05,41.51,326.65,0,0,664.16,990.81
0308-GIQJT,One Year,No,Bank transfer (automatic),105.75,6.1,7382.85,0,0,433.1,7815.95
0308-IVGOK,One Year,Yes,Credit card (automatic),40.4,0,422.6,0,0,0,422.6
0310-MVLET,Month-to-Month,Yes,Electronic check,99.15,49.33,6010.05,0,0,3009.13,9019.18
0310-SUCIN,One Year,Yes,Bank transfer (automatic),84.8,23.06,6046.1,0,0,1637.26,7683.36
0310-VQXAM,Month-to-Month,No,Mailed check,19.85,40.74,178.8,0,0,366.66,545.46
0311-QYWSS,Month-to-Month,Yes,Electronic check,49.45,39.16,314.6,0,0,234.96,549.56
0311-UNPFF,Month-to-Month,Yes,Bank transfer (automatic),88.8,38.09,2274.35,0,50,990.34,3314.69
0314-TKOSI,Month-to-Month,No,Mailed check,55.15,6.98,322.9,0,0,41.88,364.78
0315-LVCRK,Month-to-Month,No,Electronic check,84.8,30.57,888.75,0,0,336.27,1225.02
0318-QUUOB,Month-to-Month,Yes,Electronic check,80.55,43.67,80.55,0,0,43.67,124.22
0318-ZOPWS,Two Year,Yes,Bank transfer (automatic),20.15,2.82,973.35,0,0,138.18,1111.53
0319-QZTCO,Month-to-Month,Yes,Credit card (automatic),58.7,11.47,168.6,0,0,34.41,203.01
0320-DWVTU,Two Year,No,Mailed check,99.5,43.57,5424.25,0,0,2309.21,7733.46
0320-JDNQG,Month-to-Month,Yes,Electronic check,99.85,37.95,2331.3,0,0,872.85,3204.15
0322-CHQRU,Month-to-Month,No,Electronic check,45.35,25.49,89.5,0,0,50.98,140.48
0322-YINQP,Month-to-Month,Yes,Mailed check,48.55,11.35,48.55,0,0,11.35,59.9
0323-XWWTN,Two Year,Yes,Mailed check,26.4,33.87,121.25,0,0,101.61,222.86
0324-BRPCJ,Month-to-Month,Yes,Electronic check,100.2,21.33,6851.65,0,0,1450.44,8302.09
0325-XBFAC,Month-to-Month,Yes,Electronic check,94.7,19.49,740.3,0,80,155.92,976.22
0326-VDYXE,One Year,Yes,Electronic check,97.65,16.66,6982.5,0,80,1166.2,8228.7
0327-WFZSY,One Year,No,Electronic check,100,17.29,3835.55,0,0,674.31,4509.86
0328-GRPMV,Month-to-Month,Yes,Electronic check,70.1,17.37,70.1,0,0,17.37,87.47
0329-GTIAJ,Month-to-Month,Yes,Electronic check,97.9,30.18,315.3,0,0,90.54,405.84
0330-BGYZE,One Year,No,Bank transfer (automatic),102.5,19.22,6157.6,0,0,1153.2,7310.8
0330-IVZHA,Month-to-Month,No,Electronic check,69.95,17.08,330.15,0,0,85.4,415.55
0334-GDDSO,Month-to-Month,Yes,Electronic check,81.35,9.22,233.7,0,0,27.66,261.36
0334-ZFJSR,One Year,Yes,Credit card (automatic),66.05,35.38,3462.1,44.53,150,1945.9,5513.47
0336-KXKFK,Two Year,Yes,Credit card (automatic),61.2,0,4390.25,0,0,0,4390.25
0336-PIKEI,Two Year,No,Bank transfer (automatic),74.4,5.27,5360.75,0,140,379.44,5880.19
0337-CNPZE,Month-to-Month,Yes,Electronic check,106.3,10.43,4443.45,0,130,427.63,5001.08
0343-QLUZP,Two Year,No,Bank transfer (automatic),39.6,0,2424.5,38.46,0,0,2386.04
0345-HKJVM,Month-to-Month,No,Electronic check,89.3,2.6,577.6,0,0,15.6,593.2
0345-XMMUG,Two Year,Yes,Credit card (automatic),108.9,2,4854.3,0,0,92,4946.3
0347-UBKUZ,Month-to-Month,No,Mailed check,19.9,2.74,320.45,0,0,41.1,361.55
0348-SDKOL,Month-to-Month,Yes,Credit card (automatic),102.1,3.51,5885.4,0,100,203.58,6188.98
0354-VXMJC,Two Year,No,Credit card (automatic),19.6,34.04,426.65,0,0,782.92,1209.57
0354-WYROK,Month-to-Month,Yes,Electronic check,98.9,47.95,2911.3,0,0,1486.45,4397.75
0356-ERHVT,Month-to-Month,Yes,Bank transfer (automatic),45.9,12.95,521.9,0,0,142.45,664.35
0356-OBMAC,Two Year,Yes,Bank transfer (automatic),99.9,17.33,5706.3,0,0,970.48,6676.78
0357-NVCRI,Month-to-Month,No,Credit card (automatic),20.05,12.87,471.7,0,0,321.75,793.45
0361-HJRDX,Two Year,No,Credit card (automatic),64.35,0,4539.6,0,130,0,4669.6
0362-RAOQO,Two Year,No,Credit card (automatic),19.65,26.03,830.25,0,0,1041.2,1871.45
0362-ZBZWJ,Month-to-Month,Yes,Electronic check,84.9,24.66,3067.2,0,0,887.76,3954.96
0363-QJVFX,Month-to-Month,Yes,Credit card (automatic),108.15,27.69,3432.9,0,0,886.08,4318.98
0363-SVHYR,Two Year,No,Bank transfer (automatic),86.85,10.11,6263.8,0,0,717.81,6981.61
0365-BZUWY,Month-to-Month,Yes,Electronic check,102.55,10.11,1742.5,0,0,171.87,1914.37
0365-GXEZS,Month-to-Month,No,Electronic check,78.2,31.79,1468.75,0,0,572.22,2040.97
0365-TRTPY,Month-to-Month,No,Bank transfer (automatic),91.2,11.73,3382.3,0,0,434.01,3816.31
0366-NQSHS,Month-to-Month,No,Mailed check,19.35,44.34,46.35,0,0,88.68,135.03
0369-ZGOVK,One Year,Yes,Bank transfer (automatic),70.4,12.94,1992.2,0,0,362.32,2354.52
0373-AIVNJ,One Year,No,Mailed check,39.55,0,373,0,0,0,373
0374-AACSZ,Month-to-Month,No,Electronic check,50.15,38.33,50.15,0,50,38.33,138.48
0374-FIUCA,Two Year,Yes,Credit card (automatic),20.4,23.46,1414.45,0,0,1524.9,2939.35
0374-IOEGQ,Month-to-Month,No,Electronic check,44.6,15.59,122.7,0,0,46.77,169.47
0375-HVGXO,Month-to-Month,Yes,Electronic check,34.7,0,34.7,0,0,0,34.7
0376-OIWME,Month-to-Month,Yes,Electronic check,93.6,41.33,3366.05,16.56,0,1487.88,4837.37
0376-YMCJC,Month-to-Month,Yes,Electronic check,90.6,38.69,1943.2,4.73,0,889.87,2828.34
0377-JBKKT,Month-to-Month,Yes,Mailed check,57.95,42.58,1271.8,0,0,936.76,2208.56
0378-CJKPV,Two Year,No,Credit card (automatic),112.1,4.56,7965.95,18.88,0,328.32,8275.39
0378-NHQXU,Month-to-Month,No,Electronic check,88.25,17.91,1460.65,0,0,304.47,1765.12
0378-TOVMS,Month-to-Month,No,Electronic check,85.8,10.6,272.2,0,0,31.8,304
0378-XSZPU,One Year,No,Credit card (automatic),60.3,17.22,3563.8,0,0,998.76,4562.56
0379-DJQHR,Two Year,No,Credit card (automatic),81.35,45.25,5398.6,0,0,3031.75,8430.35
0380-NEAVX,One Year,Yes,Electronic check,99.85,35,3343.15,0,0,1190,4533.15
0380-ZCSBI,Month-to-Month,No,Credit card (automatic),20,4.42,198.7,0,0,44.2,242.9
0383-CLDDA,Two Year,Yes,Credit card (automatic),85.35,18.47,5897.4,0,0,1274.43,7171.83
0384-LPITE,One Year,No,Credit card (automatic),62.05,0,2511.55,0,0,0,2511.55
0384-RVBPI,Month-to-Month,No,Credit card (automatic),64.4,12.6,1398.6,0,0,252,1650.6
0386-CWRGM,Two Year,No,Mailed check,19.4,47.5,967.85,0,0,2185,3152.85
0388-EOPEX,Month-to-Month,Yes,Electronic check,74.4,9.79,139.4,0,0,19.58,158.98
0390-DCFDQ,Month-to-Month,Yes,Mailed check,70.45,15.28,70.45,0,0,15.28,85.73
0392-BZIUW,Two Year,Yes,Credit card (automatic),105,6.58,7589.8,0,0,473.76,8063.56
0394-YONDK,Two Year,No,Credit card (automatic),25.15,1.22,1790.15,0,0,85.4,1875.55
0396-HUJBP,Month-to-Month,No,Mailed check,19.3,49.91,44.4,0,0,99.82,144.22
0396-UKGAI,Month-to-Month,Yes,Bank transfer (automatic),55.3,1.58,1284.2,0,0,36.34,1320.54
0396-YCHWO,Month-to-Month,Yes,Electronic check,95.4,40.58,3474.2,0,0,1460.88,4935.08
0397-GZBBC,Month-to-Month,Yes,Bank transfer (automatic),93.85,10.78,5574.75,8.13,0,636.02,6202.64
