customer_id,gender,age,under_30,senior_citizen,partner,dependents,number_of_dependents,married
0060-FUALY,Female,60,No,No,Yes,No,0,Yes
0064-SUDOG,Female,48,No,No,Yes,Yes,3,Yes
0064-YIJGF,Male,60,No,No,Yes,Yes,3,Yes
0067-DKWBL,Male,69,No,Yes,No,No,0,No
0068-FIGTF,Female,20,Yes,No,No,No,0,No
0071-NDAFP,Male,31,No,No,Yes,Yes,3,Yes
0074-HDKDG,Male,46,No,No,Yes,No,0,Yes
0076-LVEPS,Male,57,No,No,No,Yes,1,No
0078-XZMHT,Male,19,Yes,No,Yes,No,0,Yes
0080-EMYVY,Female,64,No,No,No,No,0,No
0080-OROZO,Female,38,No,No,No,No,0,No
0082-LDZUE,Male,54,No,No,No,No,0,No
0082-OQIQY,Male,50,No,No,No,No,0,No
0083-PIVIK,Male,25,Yes,No,No,No,0,No
0089-IIQKO,Female,35,No,No,Yes,Yes,3,Yes
0093-EXYQL,Female,72,No,Yes,No,No,0,No
0093-XWZFY,Male,51,No,No,No,No,0,No
0094-OIFMO,Female,78,No,Yes,No,Yes,1,No
0096-BXERS,Female,30,No,No,Yes,No,0,Yes
0096-FCPUF,Male,58,No,No,No,No,0,No
0098-BOWSO,Male,26,Yes,No,No,No,0,No
0100-DUVFC,Male,66,No,Yes,Yes,No,0,Yes
0103-CSITQ,Female,20,Yes,No,Yes,No,0,Yes
0104-PPXDV,Male,61,No,No,Yes,No,0,Yes
0106-GHRQR,Male,24,Yes,No,No,No,0,No
0106-UGRDO,Female,55,No,No,Yes,No,0,Yes
0107-WESLM,Male,32,No,No,No,No,0,No
0107-YHINA,Male,59,No,No,No,No,0,No
0111-KLBQG,Male,71,No,Yes,Yes,Yes,1,Yes
0112-QAWRZ,Male,49,No,No,Yes,Yes,2,Yes
0112-QWPNC,Male,61,No,No,Yes,No,0,Yes
0114-IGABW,Female,40,No,No,Yes,No,0,Yes
0114-PEGZZ,Female,39,No,No,No,No,0,No
0114-RSRRW,Female,21,Yes,No,Yes,No,0,Yes
0115-TFERT,Male,24,Yes,No,Yes,No,0,Yes
0117-LFRMW,Male,52,No,No,Yes,Yes,1,Yes
0118-JPNOY,Female,71,No,Yes,No,No,0,No
0121-SNYRK,Male,45,No,No,No,No,0,No
0122-OAHPZ,Female,29,Yes,No,No,No,0,No
0123-CRBRT,Female,62,No,No,Yes,No,0,Yes
0125-LZQXK,Male,42,No,No,No,No,0,No
0128-MKWSG,Female,51,No,No,No,Yes,2,No
0129-KPTWJ,Male,39,No,No,Yes,No,0,Yes
0129-QMPDR,Male,64,No,No,Yes,No,0,Yes
0130-SXOUN,Male,55,No,No,No,No,0,No
0133-BMFZO,Female,40,No,No,No,No,0,No
0134-XWXCE,Female,76,No,Yes,No,No,0,No
0135-NMXAP,Female,57,No,No,No,No,0,No
0136-IFMYD,Male,71,No,Yes,Yes,No,0,Yes
0137-OCGAB,Female,25,Yes,No,No,No,0,No
0137-UDEUO,Female,24,Yes,No,No,No,0,No
0139-IVFJG,Female,19,Yes,No,Yes,No,0,Yes
0141-YEAYS,Female,77,No,Yes,No,No,0,No
0142-GVYSN,Male,57,No,No,No,No,0,No
0147-ESWWR,Female,73,No,Yes,Yes,No,0,Yes
0148-DCDOS,Male,41,No,No,No,No,0,No
0151-ONTOV,Female,43,No,No,No,No,0,No
0156-FVPTA,Male,48,No,No,Yes,No,0,Yes
0164-APGRB,Female,56,No,No,No,No,0,No
0164-XAIRP,Female,51,No,No,No,No,0,No
0168-XZKBB,Female,34,No,No,Yes,No,0,Yes
0174-QRVVY,Male,21,Yes,No,Yes,Yes,2,Yes
0177-PXBAT,Male,78,No,Yes,Yes,No,0,Yes
0178-CIIKR,Female,60,No,No,No,No,0,No
0178-SZBHO,Male,54,No,No,Yes,Yes,1,Yes
0181-RITDD,Male,42,No,No,Yes,Yes,3,Yes
0186-CAERR,Male,22,Yes,No,No,No,0,No
0187-QSXOE,Male,71,No,Yes,Yes,No,0,Yes
0187-WZNAB,Female,56,No,No,Yes,Yes,2,Yes
0188-GWFLE,Male,33,No,No,No,No,0,No
0191-EQUUH,Female,32,No,No,No,Yes,3,No
0191-ZHSKZ,Male,80,No,Yes,No,No,0,No
0193-ESZXP,Female,73,No,Yes,Yes,No,0,Yes
0195-IESCP,Male,26,Yes,No,Yes,No,0,Yes
0196-JTUQI,Female,59,No,No,No,No,0,No
0196-VULGZ,Female,78,No,Yes,Yes,No,0,Yes
0197-PNKNK,Female,47,No,No,Yes,Yes,1,Yes
0201-MIBOL,Female,68,No,Yes,No,No,0,No
0201-OAMXR,Female,30,No,No,No,No,0,No
0203-HHYIJ,Male,62,No,No,No,No,0,No
0206-OYVOC,Female,52,No,No,Yes,Yes,2,Yes
0206-TBWLC,Female,63,No,No,Yes,No,0,Yes
0207-MDKNV,Female,54,No,No,No,No,0,No
0208-BPQEJ,Female,48,No,No,Yes,Yes,1,Yes
0212-ISBBF,Female,51,No,No,No,No,0,No
0214-JHPFW,Female,22,Yes,No,Yes,No,0,Yes
0215-BQKGS,Male,52,No,No,No,No,0,No
0218-QNVAS,Male,22,Yes,No,Yes,Yes,1,Yes
0219-QAERP,Male,33,No,No,Yes,No,0,Yes
0219-YTZUE,Male,26,Yes,No,Yes,No,0,Yes
0220-EBGCE,Male,58,No,No,No,No,0,No
0221-NAUXK,Male,22,Yes,No,No,Yes,1,No
0221-WMXNQ,Male,66,No,Yes,No,No,0,No
0222-CNVPT,Male,69,No,Yes,No,No,0,No
0224-HJAPT,Male,25,Yes,No,No,No,0,No
0224-NIJLP,Male,30,No,No,Yes,Yes,3,Yes
0224-RLWWD,Female,73,No,Yes,No,No,0,No
0225-ZORZP,Male,46,No,No,No,No,0,No
0228-MAUWC,Male,40,No,No,No,No,0,No
0229-LFJAF,Male,53,No,No,No,No,0,No
0230-UBYPQ,Male,76,No,Yes,Yes,No,0,Yes
0230-WEQUW,Male,38,No,No,Yes,No,0,Yes
0231-LXVAP,Male,23,Yes,No,No,No,0,No
0233-FTHAV,Female,24,Yes,No,No,No,0,No
0234-TEVTT,Female,43,No,No,Yes,Yes,3,Yes
0235-KGSLC,Female,45,No,No,No,No,0,No
0236-HFWSV,Male,49,No,No,No,No,0,No
0237-YFUTL,Female,62,No,No,Yes,No,0,Yes
0238-WHBIQ,Male,25,Yes,No,Yes,Yes,1,Yes
0239-OXEXL,Female,37,No,No,No,No,0,No
0244-LGNFY,Female,35,No,No,Yes,Yes,1,Yes
0247-SLUJI,Male,37,No,No,Yes,Yes,3,Yes
0248-IPDFW,Female,19,Yes,No,No,No,0,No
0248-PGHBZ,Female,69,No,Yes,No,No,0,No
0253-ZTEOB,Female,44,No,No,Yes,Yes,1,Yes
0254-FNMCI,Female,19,Yes,No,No,No,0,No
0254-KCJGT,Male,64,No,No,Yes,No,0,Yes
0254-WWRKD,Female,44,No,No,Yes,Yes,3,Yes
0256-LTHVJ,Female,58,No,No,Yes,No,0,Yes
0257-KXZGU,Female,29,Yes,No,Yes,Yes,1,Yes
0257-ZESQC,Female,80,No,Yes,Yes,No,0,Yes
0258-NOKBL,Male,22,Yes,No,No,No,0,No
0259-GBZSH,Male,22,Yes,No,No,No,0,No
0260-ZDLGK,Female,50,No,No,No,Yes,2,No
0263-FJTQO,Male,53,No,No,Yes,Yes,2,Yes
0264-CNITK,Female,45,No,No,Yes,Yes,2,Yes
0265-EDXBD,Male,76,No,Yes,Yes,No,0,Yes
0265-PSUAE,Female,57,No,No,Yes,Yes,3,Yes
0266-CLZKZ,Female,45,No,No,Yes,Yes,3,Yes
0266-GMEAO,Male,43,No,No,Yes,Yes,1,Yes
0268-QKIWO,Female,41,No,No,No,No,0,No
0269-XFESX,Male,22,Yes,No,Yes,Yes,3,Yes
0270-THENM,Male,62,No,No,Yes,Yes,2,Yes
0274-JKUJR,Male,21,Yes,No,Yes,Yes,2,Yes
0277-BKSQP,Male,49,No,No,Yes,Yes,3,Yes
0277-ORXQS,Male,33,No,No,Yes,Yes,4,Yes
0278-YXOOG,Male,30,No,No,No,No,0,No
0280-XJGEX,Male,38,No,No,No,Yes,1,No
0281-CNTZX,Male,56,No,No,Yes,No,0,Yes
0282-NVSJS,Female,70,No,Yes,Yes,Yes,1,Yes
0285-INHLN,Male,54,No,No,Yes,Yes,6,Yes
0289-IVARM,Female,57,No,No,No,No,0,No
0292-WEGCH,Female,40,No,No,Yes,Yes,2,Yes
0295-PPHDO,Male,56,No,No,No,No,0,No
0295-QVKPB,Male,38,No,No,No,No,0,No
0297-RBCSG,Male,61,No,No,No,No,0,No
0298-XACET,Male,35,No,No,Yes,Yes,2,Yes
0301-FIDRB,Female,61,No,No,Yes,Yes,3,Yes
0301-KOBTQ,Male,50,No,No,No,No,0,No
0302-JOIVN,Female,47,No,No,Yes,No,0,Yes
0303-UNCIP,Male,35,No,No,No,No,0,No
0303-WMMRN,Male,32,No,No,No,No,0,No
0305-SQECB,Female,54,No,No,No,Yes,1,No
0306-JAELE,Male,61,No,No,No,No,0,No
0307-BCOPK,Female,62,No,No,No,No,0,No
0308-GIQJT,Male,80,No,Yes,No,No,0,No
0308-IVGOK,Female,23,Yes,No,No,No,0,No
0310-MVLET,Female,63,No,No,Yes,No,0,Yes
0310-SUCIN,Female,50,No,No,Yes,No,0,Yes
0310-VQXAM,Male,56,No,No,No,No,0,No
0311-QYWSS,Female,63,No,No,No,No,0,No
0311-UNPFF,Female,58,No,No,No,No,0,No
0314-TKOSI,Female,29,Yes,No,No,No,0,No
0315-LVCRK,Male,54,No,No,No,No,0,No
0318-QUUOB,Male,25,Yes,No,Yes,No,0,Yes
0318-ZOPWS,Female,31,No,No,Yes,No,0,Yes
0319-QZTCO,Female,25,Yes,No,Yes,Yes,2,Yes
0320-DWVTU,Female,46,No,No,No,No,0,No
0320-JDNQG,Male,28,Yes,No,Yes,No,0,Yes
0322-CHQRU,Male,63,No,No,No,No,0,No
0322-YINQP,Male,37,No,No,No,No,0,No
0323-XWWTN,Male,44,No,No,No,Yes,1,No
0324-BRPCJ,Female,74,No,Yes,Yes,No,0,Yes
0325-XBFAC,Male,44,No,No,No,No,0,No
0326-VDYXE,Female,21,Yes,No,Yes,No,0,Yes
0327-WFZSY,Male,62,No,No,Yes,Yes,3,Yes
0328-GRPMV,Female,43,No,No,No,No,0,No
0329-GTIAJ,Female,40,No,No,No,No,0,No
0330-BGYZE,Male,48,No,No,Yes,No,0,Yes
0330-IVZHA,Female,55,No,No,Yes,No,0,Yes
0334-GDDSO,Male,77,No,Yes,No,No,0,No
0334-ZFJSR,Female,41,No,No,Yes,No,0,Yes
0336-KXKFK,Male,43,No,No,No,No,0,No
0336-PIKEI,Male,69,No,Yes,Yes,No,0,Yes
0337-CNPZE,Female,63,No,No,No,No,0,No
0343-QLUZP,Male,38,No,No,No,No,0,No
0345-HKJVM,Female,43,No,No,No,No,0,No
0345-XMMUG,Female,29,Yes,No,Yes,No,0,Yes
0347-UBKUZ,Female,46,No,No,No,No,0,No
0348-SDKOL,Female,33,No,No,Yes,No,0,Yes
0354-VXMJC,Male,60,No,No,Yes,Yes,3,Yes
0354-WYROK,Female,70,No,Yes,Yes,No,0,Yes
0356-ERHVT,Male,54,No,No,Yes,No,0,Yes
0356-OBMAC,Female,80,No,Yes,No,No,0,No
0357-NVCRI,Female,41,No,No,No,Yes,3,No
0361-HJRDX,Female,38,No,No,No,No,0,No
0362-RAOQO,Female,48,No,No,No,No,0,No
0362-ZBZWJ,Male,46,No,No,No,No,0,No
0363-QJVFX,Male,22,Yes,No,No,No,0,No
0363-SVHYR,Male,28,Yes,No,Yes,Yes,3,Yes
0365-BZUWY,Male,58,No,No,Yes,No,0,Yes
0365-GXEZS,Male,55,No,No,Yes,No,0,Yes
0365-TRTPY,Female,52,No,No,No,No,0,No
0366-NQSHS,Male,42,No,No,No,No,0,No
0369-ZGOVK,Female,56,No,No,Yes,Yes,2,Yes
0373-AIVNJ,Male,34,No,No,No,No,0,No
0374-AACSZ,Female,63,No,No,No,No,0,No
0374-FIUCA,Male,59,No,No,Yes,No,0,Yes
0374-IOEGQ,Female,62,No,No,No,No,0,No
0375-HVGXO,Female,31,No,No,No,No,0,No
0376-OIWME,Male,24,Yes,No,Yes,No,0,Yes
0376-YMCJC,Male,21,Yes,No,No,No,0,No
0377-JBKKT,Male,21,Yes,No,Yes,Yes,3,Yes
0378-CJKPV,Female,56,No,No,Yes,No,0,Yes
0378-NHQXU,Female,31,No,No,Yes,No,0,Yes
0378-TOVMS,Female,20,Yes,No,No,No,0,No
0378-XSZPU,Male,31,No,No,Yes,No,0,Yes
0379-DJQHR,Male,60,No,No,Yes,No,0,Yes
0380-NEAVX,Male,72,No,Yes,No,No,0,No
0380-ZCSBI,Male,56,No,No,No,No,0,No
0383-CLDDA,Female,42,No,No,No,No,0,No
0384-LPITE,Male,38,No,No,No,No,0,No
0384-RVBPI,Male,64,No,No,No,No,0,No
0386-CWRGM,Female,61,No,No,Yes,Yes,1,Yes
0388-EOPEX,Female,28,Yes,No,Yes,No,0,Yes
0390-DCFDQ,Female,76,No,Yes,Yes,Yes,2,Yes
0392-BZIUW,Female,44,No,No,Yes,No,0,Yes
0394-YONDK,Male,28,Yes,No,Yes,Yes,3,Yes
0396-HUJBP,Female,34,No,No,No,No,0,No
0396-UKGAI,Male,25,Yes,No,No,Yes,3,No
0396-YCHWO,Male,58,No,No,Yes,No,0,Yes
0397-GZBBC,Male,70,No,Yes,Yes,No,0,Yes
0397-ZXWQF,Male,24,Yes,No,No,No,0,No
0401-WDBXM,Male,22,Yes,No,Yes,Yes,3,Yes
0402-CQAJN,Female,22,Yes,No,No,No,0,No
0402-OAMEN,Female,36,No,No,Yes,Yes,1,Yes
0404-AHASP,Male,23,Yes,No,Yes,No,0,Yes
0404-SWRVG,Male,21,Yes,No,No,Yes,2,No
0406-BPDVR,Female,75,No,Yes,Yes,No,0,Yes
0407-BDJKB,Male,59,No,No,Yes,No,0,Yes
0409-WTMPL,Female,35,No,No,Yes,No,0,Yes
0410-IPFTY,Female,64,No,No,Yes,No,0,Yes
0411-EZJZE,Female,62,No,No,No,No,0,No
0412-UCCNP,Male,20,Yes,No,No,No,0,No
0415-MOSGF,Female,58,No,No,No,No,0,No
0419-YAAPX,Male,44,No,No,Yes,No,0,Yes
0420-BWTPW,Male,40,No,No,No,No,0,No
0420-HLGXF,Female,72,No,Yes,No,No,0,No
0420-TXVSG,Male,43,No,No,Yes,No,0,Yes
0422-OHQHQ,Female,23,Yes,No,Yes,No,0,Yes
0422-UXFAP,Female,34,No,No,Yes,No,0,Yes
0423-UDIJQ,Male,74,No,Yes,No,No,0,No
0426-TIRNE,Female,54,No,No,No,No,0,No
0428-AXXLJ,Male,29,Yes,No,No,No,0,No
0428-IKYCP,Male,56,No,No,Yes,No,0,Yes
0430-IHCDJ,Male,40,No,No,No,No,0,No
0431-APWVY,Female,37,No,No,Yes,No,0,Yes
0432-CAJZV,Male,47,No,No,No,No,0,No
0434-CSFON,Female,34,No,No,Yes,No,0,Yes
0436-TWFFZ,Female,21,Yes,No,No,No,0,No
0439-IFYUN,Female,78,No,Yes,No,No,0,No
0440-EKDCF,Male,47,No,No,Yes,No,0,Yes
0440-MOGPM,Female,51,No,No,No,No,0,No
0440-QEXBZ,Female,64,No,No,No,No,0,No
0440-UEDAI,Female,59,No,No,No,No,0,No
0442-TDYUO,Male,44,No,No,Yes,No,0,Yes
0442-ZXKVS,Female,79,No,Yes,Yes,No,0,Yes
0447-BEMNG,Female,28,Yes,No,Yes,No,0,Yes
0447-RXSGD,Male,39,No,No,No,No,0,No
0454-OKRCT,Male,32,No,No,No,No,0,No
0455-ENTCR,Male,58,No,No,Yes,No,0,Yes
0455-XFASS,Female,61,No,No,Yes,Yes,2,Yes
0458-HEUZG,Female,58,No,No,No,No,0,No
0459-SPZHJ,Male,19,Yes,No,Yes,No,0,Yes
0461-CVKMU,Female,45,No,No,Yes,No,0,Yes
0463-TXOAK,Male,26,Yes,No,No,Yes,1,No
0463-WZZKO,Male,23,Yes,No,No,No,0,No
0463-ZSDNT,Male,23,Yes,No,No,No,0,No
0464-WJTKO,Female,39,No,No,Yes,Yes,2,Yes
0468-YRPXN,Male,62,No,No,No,No,0,No
0471-ARVMX,Female,70,No,Yes,Yes,No,0,Yes
0471-LVHGK,Male,34,No,No,Yes,No,0,Yes
0475-RIJEP,Male,47,No,No,No,No,0,No
0479-HMSWA,Female,63,No,No,No,Yes,1,No
0480-BIXDE,Female,58,No,No,Yes,No,0,Yes
0480-KYJVA,Female,42,No,No,Yes,Yes,3,Yes
0481-SUMCB,Female,74,No,Yes,No,No,0,No
0484-FFVBJ,Male,43,No,No,No,No,0,No
0484-JPBRU,Male,23,Yes,No,No,No,0,No
0485-ZBSLN,Male,52,No,No,Yes,Yes,2,Yes
0486-HECZI,Male,37,No,No,Yes,Yes,1,Yes
0486-LGCCH,Male,48,No,No,Yes,Yes,2,Yes
0487-CRLZF,Female,58,No,No,No,No,0,No
0487-RPVUM,Male,49,No,No,Yes,No,0,Yes
0487-VVUVK,Male,49,No,No,Yes,Yes,2,Yes
0488-GSLFR,Female,41,No,No,No,No,0,No
0489-WMEMG,Female,61,No,No,No,Yes,3,No
0491-KAPQG,Male,28,Yes,No,No,No,0,No
0495-RVCBF,Female,39,No,No,No,No,0,No
0495-ZBNGW,Male,78,No,Yes,Yes,No,0,Yes
0496-AHOOK,Male,61,No,No,Yes,No,0,Yes
0504-HHAPI,Female,72,No,Yes,No,No,0,No
0505-SPOOW,Female,41,No,No,Yes,No,0,Yes
0506-LVNGN,Female,78,No,Yes,No,No,0,No
0506-YLVKJ,Male,54,No,No,Yes,Yes,1,Yes
0508-OOLTO,Female,33,No,No,Yes,Yes,1,Yes
0508-SQWPL,Female,32,No,No,Yes,Yes,3,Yes
0511-JTEOY,Female,41,No,No,No,No,0,No
0512-FLFDW,Female,74,No,Yes,Yes,No,0,Yes
0513-RBGPE,Male,57,No,No,Yes,No,0,Yes
0515-YPMCW,Male,42,No,No,No,No,0,No
0516-OOHAR,Male,39,No,No,Yes,Yes,2,Yes
0516-QREYC,Female,78,No,Yes,No,No,0,No
0516-UXRMT,Female,27,Yes,No,No,No,0,No
0516-VRYBW,Female,39,No,No,No,No,0,No
0516-WJVXC,Female,21,Yes,No,No,No,0,No
0519-DRGTI,Female,58,No,No,Yes,Yes,3,Yes
0519-XUZJU,Female,56,No,No,No,No,0,No
0520-FDVVT,Male,26,Yes,No,No,No,0,No
0523-VNGTF,Female,78,No,Yes,No,No,0,No
0524-IAVZO,Female,25,Yes,No,Yes,No,0,Yes
0526-SXDJP,Male,36,No,No,Yes,No,0,Yes
0529-ONKER,Male,70,No,Yes,No,No,0,No
0530-IJVDB,Male,36,No,No,No,Yes,2,No
0531-XBKMM,Male,37,No,No,No,Yes,2,No
0531-ZZJWQ,Male,68,No,Yes,Yes,No,0,Yes
0533-BNWKF,Female,66,No,Yes,Yes,No,0,Yes
0533-UCAAU,Male,72,No,Yes,Yes,No,0,Yes
0536-ACXIP,Female,34,No,No,Yes,No,0,Yes
0536-BGFMZ,Female,27,Yes,No,Yes,No,0,Yes
0536-ESJEP,Male,48,No,No,Yes,No,0,Yes
0537-QYZZN,Male,66,No,Yes,Yes,Yes,2,Yes
0541-FITGH,Female,59,No,No,Yes,No,0,Yes
0547-HURJB,Male,19,Yes,No,No,Yes,2,No
0549-CYCQN,Male,69,No,Yes,No,No,0,No
0550-DCXLH,Male,64,No,No,No,No,0,No
0556-FJEGU,Male,26,Yes,No,No,No,0,No
0557-ASKVU,Female,43,No,No,Yes,No,0,Yes
0559-CKHUS,Female,44,No,No,Yes,No,0,Yes
0562-FGDCR,Female,61,No,No,Yes,Yes,3,Yes
0562-HKHML,Male,39,No,No,Yes,Yes,1,Yes
0562-KBDVM,Female,62,No,No,No,No,0,No
0564-JJHGS,Male,45,No,No,No,No,0,No
0564-MUUQK,Female,28,Yes,No,Yes,Yes,2,Yes
0565-IYCGT,Male,51,No,No,No,No,0,No
0565-JUPYD,Male,26,Yes,No,No,No,0,No
0567-GGCAC,Female,38,No,No,No,No,0,No
0567-XRHCU,Female,19,Yes,No,Yes,Yes,1,Yes
0568-ONFPC,Male,34,No,No,Yes,Yes,1,Yes
0570-BFQHT,Female,38,No,No,No,No,0,No
0572-ZJKLT,Female,32,No,No,Yes,Yes,1,Yes
0575-CUQOV,Male,76,No,Yes,Yes,No,0,Yes
0576-WNXXC,Male,70,No,Yes,Yes,No,0,Yes
0577-WHMEV,Female,19,Yes,No,Yes,No,0,Yes
0578-SKVMF,Female,23,Yes,No,Yes,No,0,Yes
0580-PIQHM,Female,21,Yes,No,Yes,Yes,1,Yes
0581-BXBUB,Female,76,No,Yes,No,No,0,No
0581-MDMPW,Female,63,No,No,No,No,0,No
0582-AVCLN,Female,43,No,No,No,No,0,No
0584-BJQGZ,Female,19,Yes,No,No,No,0,No
0585-EGDDA,Male,41,No,No,Yes,No,0,Yes
0587-DMGBH,Female,48,No,No,No,No,0,No
0594-UFTUL,Male,35,No,No,Yes,Yes,3,Yes
0595-ITUDF,Male,21,Yes,No,Yes,Yes,1,Yes
0596-BQCEQ,Female,32,No,No,Yes,No,0,Yes
0599-XNYDO,Female,51,No,No,Yes,No,0,Yes
0601-WZHJF,Male,53,No,No,Yes,No,0,Yes
0602-DDUML,Female,21,Yes,No,No,No,0,No
0603-OLQDC,Male,41,No,No,No,Yes,1,No
0603-TPMIB,Female,40,No,No,Yes,Yes,2,Yes
0604-THJFP,Female,40,No,No,Yes,No,0,Yes
0607-DAAHE,Male,62,No,No,No,No,0,No
0607-MVMGC,Male,33,No,No,Yes,No,0,Yes
0608-JDVEC,Male,55,No,No,Yes,No,0,Yes
0611-DFXKO,Male,35,No,No,Yes,No,0,Yes
0612-RTZZA,Female,77,No,Yes,No,No,0,No
0613-WUXUM,Female,38,No,No,Yes,Yes,3,Yes
0616-ATFGB,Male,74,No,Yes,Yes,No,0,Yes
0617-AQNWT,Female,61,No,No,Yes,No,0,Yes
0617-FHSGK,Male,62,No,No,No,No,0,No
0618-XWMSS,Male,60,No,No,No,No,0,No
0619-OLYUR,Male,32,No,No,Yes,No,0,Yes
0620-DLSLK,Female,47,No,No,No,No,0,No
0620-XEFWH,Male,41,No,No,Yes,Yes,1,Yes
0621-CXBKL,Female,62,No,No,No,No,0,No
0621-HJWXJ,Female,54,No,No,Yes,No,0,Yes
0621-JFHOL,Female,41,No,No,No,No,0,No
0621-TSSMU,Male,29,Yes,No,Yes,No,0,Yes
0621-TWIEM,Male,28,Yes,No,No,No,0,No
0623-EJQEG,Male,50,No,No,No,No,0,No
0623-GDISB,Female,63,No,No,No,No,0,No
0623-IIHUG,Female,77,No,Yes,No,No,0,No
0625-AFOHS,Female,40,No,No,Yes,Yes,1,Yes
0626-QXNGV,Female,55,No,No,Yes,No,0,Yes
0628-CNQRM,Male,49,No,No,Yes,No,0,Yes
0634-SZPQA,Female,64,No,No,No,No,0,No
0635-WKOLD,Male,33,No,No,Yes,No,0,Yes
0637-KVDLV,Male,30,No,No,No,No,0,No
0637-UBJRP,Male,40,No,No,Yes,No,0,Yes
0637-YLETY,Female,39,No,No,No,No,0,No
0639-TSIQW,Female,28,Yes,No,No,No,0,No
0640-YJTPY,Male,19,Yes,No,Yes,Yes,1,Yes
0641-EVBOJ,Male,61,No,No,No,No,0,No
0643-OKLRP,Female,73,No,Yes,Yes,No,0,Yes
0644-OQMDK,Male,69,No,Yes,No,No,0,No
0650-BWOZN,Female,71,No,Yes,No,No,0,No
0654-HMSHN,Male,45,No,No,Yes,No,0,Yes
0654-PQKDW,Female,58,No,No,Yes,Yes,2,Yes
0655-RBDUG,Male,32,No,No,No,No,0,No
0655-YDGFJ,Male,34,No,No,No,No,0,No
0657-DOGUM,Female,35,No,No,Yes,No,0,Yes
0661-KBKPA,Male,43,No,No,Yes,Yes,3,Yes
0661-KQHNK,Female,38,No,No,Yes,Yes,3,Yes
0661-WCQNQ,Male,56,No,No,Yes,No,0,Yes
0661-XEYAN,Female,76,No,Yes,No,No,0,No
0665-XHDJU,Male,21,Yes,No,Yes,No,0,Yes
0666-UXTJO,Male,80,No,Yes,Yes,No,0,Yes
0667-NSRGI,Female,45,No,No,Yes,No,0,Yes
0668-OGMHD,Female,20,Yes,No,Yes,No,0,Yes
0670-ANMUU,Male,47,No,No,No,No,0,No
0670-KDOMA,Female,42,No,No,No,No,0,No
0673-IGUQO,Male,26,Yes,No,No,No,0,No
0674-DGMAQ,Male,78,No,Yes,Yes,No,0,Yes
0674-EYYZV,Female,41,No,No,No,No,0,No
0674-GCDXG,Male,20,Yes,No,No,No,0,No
0675-NCDYU,Female,61,No,No,Yes,Yes,2,Yes
0678-RLHVP,Female,33,No,No,No,No,0,No
0679-IDSTG,Female,73,No,Yes,Yes,No,0,Yes
0679-TDGAK,Male,29,Yes,No,Yes,Yes,1,Yes
0680-DFNNY,Male,62,No,No,Yes,No,0,Yes
0682-USIXD,Female,40,No,No,Yes,No,0,Yes
0684-AOSIH,Male,42,No,No,Yes,No,0,Yes
0685-MLYYM,Female,74,No,Yes,No,No,0,No
0687-ZVTHB,Male,24,Yes,No,Yes,No,0,Yes
0689-DSXGL,Female,61,No,No,Yes,Yes,1,Yes
0689-NKYLF,Male,42,No,No,No,No,0,No
0690-SRQID,Male,20,Yes,No,No,No,0,No
0691-IFBQW,Female,65,No,Yes,No,No,0,No
